time,open,high,low,close,volume,VWAP,5SMA,8SMA,13SMA,12EMA,26EMA,MACD,MACDS,RSI
09:00,138.700,138.924,138.700,138.924,11281,138.955,138.636,138.691,138.772,138.750,138.791,-0.041,-0.026,54.647
09:01,138.970,138.970,138.780,138.800,6612,138.954,138.692,138.678,138.767,138.758,138.792,-0.034,-0.028,50.067
09:02,138.800,138.800,138.700,138.710,26693,138.951,138.747,138.666,138.754,138.750,138.786,-0.036,-0.029,46.983
09:03,138.710,138.710,138.600,138.600,15812,138.948,138.743,138.661,138.728,138.727,138.772,-0.045,-0.032,43.461
09:04,138.560,138.640,138.330,138.460,13118,138.945,138.699,138.654,138.688,138.686,138.749,-0.063,-0.038,39.411
09:05,138.450,138.600,138.450,138.600,4297,138.944,138.634,138.674,138.669,138.673,138.738,-0.065,-0.044,44.937
09:06,138.650,138.690,138.650,138.670,1775,138.943,138.608,138.680,138.651,138.672,138.733,-0.060,-0.047,47.514
09:07,138.700,138.770,138.670,138.700,17213,138.941,138.606,138.683,138.643,138.677,138.730,-0.054,-0.048,48.621
09:08,138.740,138.750,138.690,138.700,14654,138.939,138.626,138.655,138.648,138.680,138.728,-0.048,-0.048,48.625
09:09,138.740,138.770,138.720,138.750,17059,138.938,138.684,138.649,138.665,138.691,138.730,-0.039,-0.046,50.642
09:10,138.750,138.780,138.660,138.690,14622,138.936,138.702,138.646,138.685,138.691,138.727,-0.036,-0.044,48.196
09:11,138.680,138.700,138.630,138.630,18961,138.933,138.694,138.650,138.686,138.681,138.720,-0.038,-0.043,45.813
09:12,138.610,138.610,138.430,138.530,12229,138.930,138.660,138.659,138.674,138.658,138.706,-0.047,-0.044,42.079
09:13,138.560,138.620,138.560,138.590,8599,138.929,138.638,138.657,138.648,138.648,138.697,-0.049,-0.045,44.977
09:14,138.560,138.590,138.490,138.490,10455,138.927,138.586,138.635,138.625,138.623,138.682,-0.058,-0.048,41.270
09:15,138.500,138.550,138.370,138.440,11522,138.924,138.536,138.602,138.604,138.595,138.664,-0.069,-0.052,39.517
09:16,138.410,138.500,138.410,138.490,8902,138.922,138.508,138.576,138.595,138.579,138.651,-0.072,-0.056,42.163
09:17,138.480,138.480,138.410,138.460,28420,138.915,138.494,138.540,138.595,138.561,138.637,-0.076,-0.060,41.004
09:18,138.470,138.640,138.470,138.640,15393,138.912,138.504,138.534,138.598,138.573,138.637,-0.064,-0.061,49.904
09:19,138.630,138.630,138.570,138.610,3877,138.912,138.528,138.531,138.594,138.579,138.635,-0.056,-0.060,48.588
09:20,138.570,138.570,138.500,138.500,1782,138.911,138.540,138.528,138.578,138.567,138.625,-0.059,-0.060,44.007
09:21,138.490,138.540,138.480,138.540,3354,138.911,138.550,138.521,138.566,138.562,138.619,-0.056,-0.059,46.001
09:22,138.580,138.580,138.530,138.560,2084,138.910,138.570,138.530,138.552,138.562,138.614,-0.052,-0.058,47.017
09:23,138.600,138.731,138.600,138.680,10153,138.909,138.578,138.560,138.551,138.580,138.619,-0.039,-0.054,52.759
09:24,138.670,138.690,138.510,138.640,7424,138.908,138.584,138.579,138.552,138.589,138.621,-0.031,-0.049,50.783
09:25,138.640,138.640,138.430,138.440,4874,138.907,138.572,138.576,138.545,138.566,138.607,-0.041,-0.048,42.261
