time,open,high,low,close,volume,VWAP,5SMA,8SMA,13SMA,12EMA,26EMA,MACD,MACDS,RSI
09:00,162.550,162.570,162.450,162.500,2783,162.805,162.498,162.544,162.531,162.526,162.535,-0.010,-0.008,46.902
09:01,162.480,162.500,162.480,162.500,1313,162.804,162.498,162.526,162.527,162.522,162.533,-0.011,-0.009,46.902
09:02,162.500,162.550,162.500,162.550,1906,162.803,162.514,162.520,162.531,162.526,162.534,-0.008,-0.009,51.529
09:03,162.550,162.610,162.550,162.610,5082,162.800,162.542,162.519,162.539,162.539,162.540,-0.001,-0.007,56.451
09:04,162.560,162.560,162.500,162.500,3047,162.799,162.532,162.519,162.542,162.533,162.537,-0.004,-0.006,47.036
09:05,162.500,162.550,162.500,162.510,2996,162.797,162.534,162.524,162.540,162.529,162.535,-0.005,-0.006,47.887
09:06,162.550,162.550,162.500,162.500,11442,162.790,162.534,162.527,162.529,162.525,162.532,-0.007,-0.006,47.073
09:07,162.480,162.480,162.400,162.400,7307,162.784,162.504,162.509,162.514,162.506,162.522,-0.017,-0.008,39.786
09:08,162.430,162.460,162.400,162.420,7333,162.779,162.466,162.499,162.498,162.492,162.515,-0.022,-0.011,41.729
09:09,162.410,162.410,162.400,162.400,1518,162.778,162.446,162.486,162.491,162.478,162.506,-0.028,-0.015,40.328
09:10,162.410,162.410,162.390,162.400,2841,162.775,162.424,162.468,162.485,162.466,162.498,-0.032,-0.018,40.360
09:11,162.420,162.420,162.420,162.420,940,162.775,162.408,162.444,162.482,162.459,162.493,-0.033,-0.021,42.562
09:12,162.436,162.450,162.430,162.450,3245,162.773,162.418,162.438,162.474,162.458,162.489,-0.032,-0.023,45.842
09:13,162.484,162.484,162.440,162.440,804,162.772,162.422,162.429,162.469,162.455,162.486,-0.031,-0.025,44.921
09:14,162.440,162.450,162.440,162.440,1212,162.771,162.430,162.421,162.465,162.453,162.482,-0.030,-0.026,44.921
09:15,162.401,162.440,162.401,162.440,965,162.771,162.438,162.426,162.456,162.451,162.479,-0.028,-0.026,44.921
09:16,162.440,162.440,162.430,162.430,1034,162.770,162.440,162.428,162.442,162.448,162.476,-0.028,-0.027,43.822
09:17,162.410,162.430,162.390,162.390,8741,162.764,162.428,162.426,162.434,162.439,162.469,-0.031,-0.027,39.643
09:18,162.380,162.390,162.350,162.350,4490,162.760,162.410,162.420,162.422,162.425,162.460,-0.035,-0.029,35.950
09:19,162.300,162.310,162.180,162.180,11815,162.748,162.358,162.390,162.397,162.387,162.440,-0.052,-0.034,25.206
09:20,162.200,162.240,162.150,162.220,15997,162.732,162.314,162.361,162.383,162.362,162.423,-0.062,-0.039,30.471
09:21,162.220,162.270,162.200,162.240,12344,162.720,162.276,162.336,162.369,162.343,162.410,-0.067,-0.045,33.011
09:22,162.210,162.220,162.200,162.200,17077,162.705,162.238,162.306,162.354,162.321,162.394,-0.073,-0.051,30.603
09:23,162.190,162.190,162.110,162.110,4987,162.700,162.190,162.265,162.332,162.288,162.373,-0.085,-0.057,26.008
09:24,162.130,162.190,162.110,162.160,6217,162.694,162.186,162.231,162.312,162.269,162.357,-0.089,-0.064,32.108
09:25,162.150,162.150,161.920,162.000,43109,162.647,162.142,162.183,162.277,162.227,162.331,-0.104,-0.072,25.004
09:26,162.020,162.100,161.960,162.050,17738,162.630,162.104,162.145,162.247,162.200,162.310,-0.110,-0.079,30.201
09:27,162.000,162.010,161.343,161.400,61532,162.538,161.944,162.048,162.167,162.077,162.243,-0.166,-0.097,15.329
09:28,161.400,161.590,161.200,161.590,46858,162.470,161.840,161.969,162.102,162.002,162.194,-0.192,-0.116,26.693
09:29,161.590,161.590,161.390,161.390,35655,162.424,161.686,161.863,162.022,161.908,162.135,-0.227,-0.138,23.168
09:30,161.390,162.000,161.370,161.768,1559211,161.713,161.640,161.808,161.974,161.886,162.108,-0.221,-0.155,39.434
09:31,161.769,161.810,161.580,161.690,241168,161.710,161.568,161.756,161.923,161.856,162.077,-0.221,-0.168,37.667
09:32,161.710,161.780,161.560,161.580,288191,161.700,161.604,161.683,161.877,161.814,162.040,-0.226,-0.179,35.261
09:33,161.590,161.860,161.380,161.580,367082,161.686,161.602,161.631,161.828,161.778,162.006,-0.228,-0.189,35.259
09:34,161.495,161.780,161.380,161.530,274529,161.674,161.630,161.566,161.773,161.740,161.971,-0.231,-0.198,34.109
09:35,161.530,161.630,161.110,161.120,364192,161.628,161.500,161.531,161.690,161.644,161.908,-0.263,-0.211,26.483
09:36,161.110,161.140,160.920,161.140,446665,161.558,161.390,161.475,161.615,161.567,161.851,-0.284,-0.225,27.337
09:37,161.140,161.270,161.080,161.165,311432,161.526,161.307,161.447,161.539,161.505,161.800,-0.295,-0.239,28.455
09:38,161.165,161.170,160.830,160.920,349878,161.480,161.175,161.341,161.456,161.415,161.735,-0.320,-0.255,24.480
09:39,160.910,161.270,160.883,161.170,283691,161.457,161.103,161.276,161.388,161.377,161.693,-0.316,-0.267,34.530
09:40,161.160,161.190,160.920,161.030,235040,161.436,161.085,161.207,161.359,161.324,161.644,-0.320,-0.278,31.965
09:41,161.010,161.090,160.840,160.940,262786,161.411,161.045,161.127,161.309,161.265,161.592,-0.327,-0.288,30.401
09:42,160.955,161.170,160.869,160.950,329369,161.385,161.002,161.054,161.276,161.216,161.544,-0.328,-0.296,30.806
09:43,160.940,161.070,160.870,160.875,212858,161.368,160.993,161.024,161.207,161.164,161.495,-0.331,-0.303,29.423
09:44,160.877,160.921,160.670,160.880,301743,161.340,160.935,160.991,161.145,161.120,161.449,-0.329,-0.308,29.650
09:45,160.890,160.900,160.705,160.794,281507,161.315,160.888,160.945,161.084,161.070,161.401,-0.331,-0.312,27.990
09:46,160.809,160.829,160.400,160.511,373755,161.273,160.802,160.894,161.002,160.984,161.335,-0.351,-0.320,23.341
09:47,160.510,160.620,160.460,160.480,226445,161.247,160.708,160.808,160.921,160.907,161.271,-0.365,-0.329,22.890
09:48,160.485,160.530,160.360,160.400,306132,161.212,160.613,160.729,160.866,160.829,161.207,-0.378,-0.339,21.730
09:49,160.407,160.510,160.220,160.280,265724,161.180,160.493,160.646,160.800,160.744,161.138,-0.394,-0.350,20.086
09:50,160.275,160.390,160.230,160.280,292217,161.146,160.390,160.563,160.732,160.673,161.075,-0.402,-0.360,20.086
09:51,160.270,160.350,160.170,160.289,421392,161.100,160.346,160.489,160.683,160.614,161.016,-0.403,-0.369,20.609
09:52,160.280,160.310,160.080,160.150,364578,161.059,160.280,160.398,160.605,160.542,160.952,-0.410,-0.377,18.587
09:53,160.151,160.450,160.135,160.438,251138,161.038,160.287,160.353,160.559,160.526,160.914,-0.388,-0.379,33.185
09:54,160.440,160.491,160.360,160.491,233447,161.023,160.329,160.351,160.524,160.521,160.883,-0.362,-0.376,35.490
09:55,160.490,160.670,160.440,160.530,283812,161.008,160.379,160.357,160.492,160.522,160.857,-0.334,-0.367,37.213
09:56,160.530,160.670,160.510,160.600,183280,161.000,160.442,160.382,160.471,160.534,160.838,-0.303,-0.355,40.273
09:57,160.590,160.620,160.380,160.490,240432,160.987,160.510,160.408,160.441,160.527,160.812,-0.284,-0.341,37.204
