time,open,high,low,close,volume,VWAP,5SMA,8SMA,13SMA,12EMA,26EMA,MACD,MACDS,RSI
09:00,116.860,116.860,116.620,116.714,20245,116.670,116.913,116.991,117.066,116.966,116.936,0.030,0.082,39.691
09:01,116.900,117.155,116.900,117.155,7148,116.675,116.926,116.980,117.070,116.995,116.952,0.043,0.074,58.326
09:02,117.140,117.190,116.990,117.179,6968,116.680,116.962,117.000,117.073,117.023,116.969,0.055,0.070,59.071
09:03,117.030,117.080,117.000,117.050,4920,116.683,116.998,116.994,117.058,117.028,116.975,0.053,0.067,53.553
09:04,116.770,116.950,116.770,116.950,1028,116.684,117.010,116.976,117.038,117.016,116.973,0.043,0.062,49.682
09:05,117.000,117.140,117.000,117.000,1885,116.685,117.067,116.976,117.020,117.013,116.975,0.038,0.057,51.567
09:06,117.020,117.110,117.000,117.000,1987,116.686,117.036,116.992,117.001,117.011,116.977,0.034,0.053,51.567
09:07,117.012,117.120,117.000,117.070,10200,116.693,117.014,117.015,117.005,117.020,116.984,0.037,0.049,54.344
09:08,117.090,117.110,117.090,117.110,2902,116.695,117.026,117.064,117.006,117.034,116.993,0.041,0.048,55.900
09:09,117.130,117.130,117.100,117.100,3551,116.697,117.056,117.057,117.007,117.044,117.001,0.043,0.047,55.392
09:10,117.100,117.100,117.050,117.050,1712,116.698,117.066,117.041,117.011,117.045,117.005,0.041,0.046,52.806
09:11,117.020,117.080,117.020,117.050,3924,116.701,117.076,117.041,117.024,117.046,117.008,0.038,0.044,52.806
09:12,117.050,117.050,117.000,117.000,1934,116.702,117.062,117.047,117.033,117.039,117.007,0.031,0.042,50.094
09:13,117.000,117.070,117.000,117.070,2655,116.703,117.054,117.056,117.060,117.044,117.012,0.032,0.040,53.681
09:14,117.070,117.070,117.070,117.070,0,116.703,117.048,117.065,117.054,117.048,117.016,0.031,0.038,53.681
09:15,117.050,117.050,117.050,117.050,1835,116.704,117.048,117.062,117.044,117.048,117.019,0.029,0.036,52.432
09:16,117.070,117.100,117.070,117.100,1120,116.705,117.058,117.061,117.048,117.056,117.025,0.031,0.035,55.236
09:17,117.100,117.100,117.100,117.100,1442,116.706,117.078,117.061,117.059,117.063,117.030,0.032,0.035,55.236
