time,open,high,low,close,volume,VWAP,5SMA,8SMA,13SMA,12EMA,26EMA,MACD,MACDS,RSI
09:00,442.300,442.300,442.300,442.300,0,443.364,442.376,442.554,442.406,442.522,442.896,-0.374,-0.406,38.875
09:01,442.660,442.660,442.660,442.660,402,443.341,442.410,442.480,442.488,442.543,442.879,-0.335,-0.392,45.594
09:02,442.660,442.660,442.660,442.660,0,443.341,442.444,442.481,442.546,442.561,442.863,-0.301,-0.374,45.594
09:03,442.660,442.660,442.660,442.660,0,443.341,442.516,442.482,442.593,442.577,442.848,-0.271,-0.353,45.594
09:04,442.660,442.660,442.660,442.660,0,443.341,442.588,442.504,442.640,442.589,442.834,-0.244,-0.332,45.594
09:05,442.660,442.660,442.660,442.660,0,443.341,442.660,442.525,442.595,442.600,442.821,-0.221,-0.309,45.594
09:06,442.660,442.660,442.660,442.660,0,443.341,442.660,442.570,442.549,442.609,442.809,-0.199,-0.287,45.594
09:07,442.660,442.660,442.660,442.660,0,443.341,442.660,442.615,442.550,442.617,442.798,-0.181,-0.266,45.594
09:08,442.660,442.660,442.660,442.660,0,443.341,442.660,442.660,442.551,442.624,442.788,-0.164,-0.246,45.594
09:09,442.660,442.660,442.660,442.660,0,443.341,442.660,442.660,442.564,442.629,442.778,-0.149,-0.226,45.594
09:10,442.660,442.660,442.660,442.660,0,443.341,442.660,442.660,442.577,442.634,442.769,-0.135,-0.208,45.594
09:11,442.950,442.950,442.950,442.950,400,443.329,442.718,442.696,442.627,442.683,442.783,-0.100,-0.186,54.119
09:12,442.950,442.950,442.950,442.950,0,443.329,442.776,442.732,442.677,442.724,442.795,-0.071,-0.163,54.119
09:13,442.950,442.950,442.950,442.950,247,443.321,442.834,442.769,442.727,442.759,442.807,-0.048,-0.140,54.119
09:14,442.950,442.950,442.950,442.950,0,443.321,442.892,442.805,442.749,442.788,442.817,-0.029,-0.118,54.119
09:15,443.200,443.990,443.200,443.990,347,443.332,443.158,442.971,442.852,442.973,442.904,0.069,-0.081,73.869
09:16,443.990,443.990,443.990,443.990,0,443.332,443.366,443.137,442.954,443.129,442.985,0.145,-0.036,73.869
09:17,443.410,443.410,443.400,443.400,300,443.334,443.456,443.230,443.011,443.171,443.015,0.156,0.003,57.565
09:18,443.400,443.400,443.400,443.400,0,443.334,443.546,443.322,443.068,443.206,443.044,0.162,0.035,57.565
09:19,443.400,443.400,443.400,443.400,0,443.334,443.636,443.379,443.125,443.236,443.070,0.166,0.061,57.565
09:20,443.400,443.400,443.400,443.400,0,443.334,443.518,443.435,443.182,443.261,443.095,0.167,0.082,57.565
09:21,443.400,443.400,443.400,443.400,0,443.334,443.400,443.491,443.238,443.283,443.117,0.165,0.099,57.565
09:22,443.400,443.400,443.400,443.400,0,443.334,443.400,443.548,443.295,443.301,443.138,0.162,0.111,57.565
09:23,443.550,443.550,443.550,443.550,118,443.336,443.430,443.493,443.364,443.339,443.169,0.170,0.123,60.981
09:24,442.400,442.400,442.400,442.400,664,443.292,443.230,443.294,443.322,443.195,443.112,0.083,0.115,36.635
09:25,442.400,442.400,442.400,442.400,0,443.292,443.030,443.169,443.279,443.072,443.059,0.013,0.095,36.635
09:26,442.400,442.400,442.400,442.400,0,443.292,442.830,443.044,443.237,442.969,443.010,-0.041,0.068,36.635
09:27,442.400,442.400,442.400,442.400,0,443.292,442.630,442.919,443.195,442.881,442.965,-0.084,0.037,36.635
09:28,443.100,443.680,442.660,442.660,2538,443.248,442.452,442.826,443.092,442.847,442.942,-0.095,0.011,43.495
09:29,442.650,442.780,442.050,442.350,1249,443.189,442.442,442.695,442.966,442.771,442.899,-0.128,-0.017,38.187
09:30,442.200,443.270,441.970,442.090,22645,442.443,442.380,442.531,442.865,442.666,442.839,-0.173,-0.048,34.395
09:31,442.580,442.580,440.700,440.850,8163,442.161,442.070,442.194,442.669,442.387,442.691,-0.305,-0.099,22.779
09:32,440.360,440.500,439.540,439.880,7940,441.712,441.566,441.879,442.398,442.001,442.483,-0.482,-0.176,17.734
09:33,439.170,439.200,438.620,438.620,2371,441.545,440.758,441.406,442.031,441.481,442.197,-0.716,-0.284,13.539
09:34,438.500,438.900,438.375,438.750,1890,441.419,440.038,440.950,441.673,441.061,441.942,-0.881,-0.403,15.753
09:35,438.435,438.670,437.700,437.700,3986,441.131,439.160,440.362,441.235,440.544,441.627,-1.084,-0.539,12.883
09:36,437.230,437.585,436.800,436.902,3130,440.879,438.370,439.643,440.723,439.983,441.277,-1.294,-0.690,11.211
09:37,436.630,437.000,436.200,436.650,3302,440.616,437.724,438.930,440.281,439.471,440.935,-1.464,-0.845,10.737
09:38,436.740,437.250,436.600,437.250,2850,440.434,437.450,438.325,439.885,439.129,440.662,-1.533,-0.983,19.465
09:39,436.810,437.620,436.810,437.260,2284,440.309,437.152,437.876,439.489,438.841,440.410,-1.568,-1.100,19.606
09:40,438.000,438.000,437.250,437.520,4249,440.125,437.116,437.581,439.114,438.638,440.196,-1.558,-1.191,23.365
09:41,437.180,437.250,436.800,437.020,2697,439.998,437.140,437.381,438.680,438.389,439.960,-1.571,-1.267,21.302
09:42,436.875,437.080,436.500,436.500,1846,439.907,437.110,437.100,438.230,438.099,439.704,-1.606,-1.335,19.385
09:43,436.550,436.760,435.750,435.750,7477,439.525,436.810,436.856,437.742,437.737,439.411,-1.674,-1.403,17.008
09:44,435.865,436.420,435.450,435.450,3755,439.346,436.448,436.675,437.327,437.385,439.118,-1.732,-1.469,16.155
09:45,435.900,438.170,435.900,438.000,3236,439.267,436.544,436.844,437.182,437.480,439.035,-1.555,-1.486,42.544
09:46,438.410,438.525,437.340,437.570,3652,439.205,436.654,436.884,437.102,437.494,438.926,-1.433,-1.475,40.244
09:47,437.260,438.000,437.240,437.975,2376,439.166,436.949,436.973,437.042,437.568,438.856,-1.288,-1.438,43.350
09:48,438.450,438.450,438.450,438.450,485,439.162,437.489,437.089,437.100,437.704,438.826,-1.122,-1.375,46.841
09:49,438.300,438.360,437.700,437.950,3456,439.118,437.989,437.206,437.180,437.741,438.761,-1.020,-1.304,43.783
09:50,438.400,438.750,438.400,438.750,774,439.114,438.139,437.487,437.342,437.897,438.760,-0.864,-1.216,49.467
09:51,438.750,438.750,438.375,438.375,1835,439.102,438.300,437.815,437.428,437.970,438.732,-0.761,-1.125,47.065
09:52,438.420,438.740,438.340,438.740,1988,439.092,438.453,438.226,437.542,438.089,438.732,-0.644,-1.029,49.629
09:53,438.678,439.470,438.640,439.470,3235,439.095,438.657,438.410,437.692,438.301,438.787,-0.486,-0.920,54.388
09:54,438.965,439.640,438.300,438.300,4183,439.081,438.727,438.501,437.791,438.301,438.751,-0.450,-0.826,46.762
09:55,438.510,438.970,438.340,438.750,2466,439.072,438.727,438.598,437.964,438.370,438.751,-0.381,-0.737,49.685
09:56,438.600,438.740,438.280,438.280,1727,439.062,438.708,438.577,438.158,438.356,438.716,-0.360,-0.662,46.796
