time,open,high,low,close,volume,VWAP,5SMA,8SMA,13SMA,12EMA,26EMA,MACD,MACDS,RSI
09:00,512.700,512.700,512.700,512.700,0,512.081,512.700,512.700,512.700,512.494,511.970,0.524,0.524,96.280
09:01,512.700,512.700,512.700,512.700,0,512.081,512.700,512.700,512.700,512.526,512.024,0.501,0.519,96.280
09:02,512.700,512.700,512.700,512.700,0,512.081,512.700,512.700,512.700,512.553,512.074,0.478,0.511,96.280
09:03,512.700,512.700,512.700,512.700,0,512.081,512.700,512.700,512.700,512.575,512.121,0.455,0.500,96.280
09:04,512.700,512.700,512.700,512.700,0,512.081,512.700,512.700,512.700,512.594,512.164,0.431,0.486,96.280
09:05,512.700,512.700,512.700,512.700,0,512.081,512.700,512.700,512.700,512.611,512.203,0.407,0.470,96.280
09:06,512.700,512.700,512.700,512.700,0,512.081,512.700,512.700,512.700,512.624,512.240,0.384,0.453,96.280
09:07,512.700,512.700,512.700,512.700,0,512.081,512.700,512.700,512.700,512.636,512.274,0.362,0.435,96.280
09:08,512.700,512.700,512.700,512.700,0,512.081,512.700,512.700,512.700,512.646,512.306,0.340,0.416,96.280
09:09,512.700,512.700,512.700,512.700,0,512.081,512.700,512.700,512.700,512.654,512.335,0.319,0.397,96.280
09:10,512.700,512.700,512.700,512.700,0,512.081,512.700,512.700,512.700,512.661,512.362,0.299,0.377,96.280
09:11,512.700,512.700,512.700,512.700,0,512.081,512.700,512.700,512.700,512.667,512.387,0.280,0.358,96.280
09:12,512.700,512.700,512.700,512.700,0,512.081,512.700,512.700,512.700,512.672,512.410,0.262,0.339,96.280
09:13,512.700,512.700,512.700,512.700,0,512.081,512.700,512.700,512.700,512.677,512.432,0.245,0.320,96.280
09:14,512.700,512.700,512.700,512.700,0,512.081,512.700,512.700,512.700,512.680,512.452,0.229,0.302,96.280
09:15,512.700,512.700,512.700,512.700,0,512.081,512.700,512.700,512.700,512.683,512.470,0.213,0.284,96.280
09:16,512.700,512.700,512.700,512.700,0,512.081,512.700,512.700,512.700,512.686,512.487,0.199,0.267,96.280
09:17,512.700,512.700,512.700,512.700,0,512.081,512.700,512.700,512.700,512.688,512.503,0.185,0.251,96.280
09:18,512.700,512.700,512.700,512.700,0,512.081,512.700,512.700,512.700,512.690,512.517,0.172,0.235,96.280
09:19,512.700,512.700,512.700,512.700,0,512.081,512.700,512.700,512.700,512.691,512.531,0.160,0.220,96.280
09:20,512.700,512.700,512.700,512.700,0,512.081,512.700,512.700,512.700,512.693,512.543,0.149,0.206,96.280
09:21,512.700,512.700,512.700,512.700,0,512.081,512.700,512.700,512.700,512.694,512.555,0.139,0.192,96.280
09:22,512.700,512.700,512.700,512.700,0,512.081,512.700,512.700,512.700,512.695,512.566,0.129,0.180,96.280
09:23,512.700,512.700,512.700,512.700,0,512.081,512.700,512.700,512.700,512.696,512.576,0.120,0.168,96.280
09:24,511.380,511.380,511.380,511.380,166,511.947,512.436,512.535,512.598,512.493,512.487,0.006,0.135,9.781
09:25,511.380,511.380,511.380,511.380,0,511.947,512.172,512.370,512.497,512.322,512.405,-0.083,0.092,9.781
09:26,511.380,511.380,511.380,511.380,0,511.947,511.908,512.205,512.395,512.177,512.329,-0.152,0.043,9.781
09:27,511.380,511.380,511.380,511.380,0,511.947,511.644,512.040,512.294,512.054,512.259,-0.204,-0.007,9.781
09:28,511.380,511.380,511.380,511.380,0,511.947,511.380,511.875,512.192,511.951,512.194,-0.243,-0.054,9.781
09:29,511.380,511.380,511.380,511.380,0,511.947,511.380,511.710,512.091,511.863,512.133,-0.271,-0.097,9.781
09:30,512.940,513.050,512.240,512.830,25138,512.707,511.670,511.726,512.101,512.012,512.185,-0.173,-0.112,64.474
09:31,512.480,513.640,512.480,513.170,2462,512.741,512.028,511.785,512.137,512.190,512.258,-0.068,-0.104,69.190
09:32,513.480,513.640,513.190,513.620,1393,512.777,512.476,512.065,512.208,512.410,512.359,0.051,-0.073,74.092
09:33,513.250,513.530,513.180,513.490,3862,512.850,512.898,512.329,512.268,512.576,512.443,0.133,-0.031,70.598
09:34,513.250,513.250,511.880,511.880,3909,512.796,512.998,512.391,512.205,512.469,512.401,0.068,-0.012,43.335
09:35,512.550,512.560,512.070,512.200,2082,512.768,512.872,512.494,512.167,512.428,512.386,0.041,-0.001,47.662
09:36,511.485,511.485,511.480,511.480,929,512.738,512.534,512.506,512.073,512.282,512.319,-0.037,-0.008,40.221
09:37,511.580,511.580,511.110,511.110,2880,512.639,512.032,512.472,512.052,512.102,512.229,-0.128,-0.032,37.022
09:38,511.650,511.840,511.580,511.670,4624,512.546,511.668,512.327,512.075,512.035,512.188,-0.153,-0.056,44.249
09:39,511.750,512.150,511.570,511.789,3835,512.493,511.650,512.155,512.106,511.997,512.158,-0.161,-0.077,45.681
09:40,511.670,512.600,511.620,512.600,3265,512.480,511.730,512.027,512.200,512.090,512.191,-0.101,-0.082,54.264
09:41,512.790,513.000,512.260,513.000,2308,512.491,512.034,511.966,512.325,512.230,512.251,-0.021,-0.070,57.807
