time,open,high,low,close,volume,VWAP,5SMA,8SMA,13SMA,12EMA,26EMA,MACD,MACDS,RSI
09:00,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,349.974,349.864,0.109,0.121,67.723
09:01,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,349.978,349.874,0.103,0.117,67.723
09:02,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,349.981,349.884,0.097,0.113,67.723
09:03,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,349.984,349.892,0.092,0.109,67.723
09:04,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,349.986,349.900,0.086,0.104,67.723
09:05,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,349.989,349.908,0.081,0.100,67.723
09:06,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,349.990,349.914,0.076,0.095,67.723
09:07,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,349.992,349.921,0.071,0.090,67.723
09:08,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,349.993,349.927,0.066,0.085,67.723
09:09,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,349.994,349.932,0.062,0.081,67.723
09:10,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,349.995,349.937,0.058,0.076,67.723
09:11,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,349.996,349.942,0.054,0.072,67.723
09:12,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,349.996,349.946,0.050,0.067,67.723
09:13,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,349.997,349.950,0.047,0.063,67.723
09:14,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,349.997,349.954,0.044,0.059,67.723
09:15,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,349.998,349.957,0.041,0.056,67.723
09:16,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,349.998,349.960,0.038,0.052,67.723
09:17,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,349.998,349.963,0.035,0.049,67.723
09:18,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,349.999,349.966,0.033,0.046,67.723
09:19,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,349.999,349.969,0.030,0.042,67.723
09:20,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,349.999,349.971,0.028,0.040,67.723
09:21,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,349.999,349.973,0.026,0.037,67.723
09:22,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,349.999,349.975,0.024,0.034,67.723
09:23,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,349.999,349.977,0.023,0.032,67.723
09:24,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,350.000,349.979,0.021,0.030,67.723
09:25,350.000,350.000,350.000,350.000,0,349.417,350.000,350.000,350.000,350.000,349.980,0.019,0.028,67.723
09:26,349.600,349.600,349.600,349.600,501,349.449,349.920,349.950,349.969,349.938,349.952,-0.014,0.019,6.705
09:27,349.600,349.600,349.600,349.600,0,349.449,349.840,349.900,349.938,349.886,349.926,-0.040,0.008,6.705
09:28,349.600,349.600,349.600,349.600,0,349.449,349.760,349.850,349.908,349.842,349.902,-0.060,-0.006,6.705
09:29,349.600,349.600,349.600,349.600,0,349.449,349.680,349.800,349.877,349.805,349.879,-0.075,-0.020,6.705
09:30,350.000,350.480,349.410,350.010,6955,349.967,349.682,349.801,349.878,349.836,349.889,-0.053,-0.026,58.391
09:31,349.790,350.160,349.750,350.040,4221,349.973,349.770,349.806,349.881,349.868,349.900,-0.033,-0.028,60.131
09:32,350.160,350.160,349.050,349.380,11488,349.748,349.726,349.729,349.833,349.793,349.862,-0.069,-0.036,30.201
09:33,349.230,349.440,349.230,349.360,11332,349.613,349.678,349.649,349.784,349.726,349.825,-0.098,-0.048,29.718
09:34,349.370,349.380,348.000,349.095,120003,348.999,349.577,349.586,349.714,349.629,349.771,-0.142,-0.067,24.199
09:35,349.240,349.390,348.800,349.210,28038,349.020,349.417,349.537,349.653,349.565,349.729,-0.164,-0.086,30.253
09:36,349.170,349.300,348.970,349.220,11913,349.029,349.253,349.489,349.593,349.512,349.691,-0.180,-0.105,30.771
09:37,349.360,350.000,349.360,349.885,19568,349.095,349.354,349.525,349.585,349.569,349.706,-0.137,-0.111,54.800
09:38,349.970,349.980,349.725,349.866,10157,349.129,349.455,349.507,349.574,349.615,349.718,-0.103,-0.110,54.221
09:39,349.675,350.110,349.675,350.110,8068,349.158,349.658,349.516,349.614,349.691,349.747,-0.056,-0.099,60.058
09:40,350.140,350.190,349.900,350.080,9070,349.192,349.832,349.603,349.650,349.751,349.771,-0.021,-0.083,59.061
09:41,350.180,350.360,350.050,350.140,9737,349.231,350.016,349.701,349.692,349.811,349.799,0.012,-0.064,60.474
09:42,350.310,350.590,350.245,350.350,23570,349.331,350.109,349.858,349.750,349.894,349.839,0.054,-0.041,65.026
09:43,350.195,350.480,350.195,350.410,12091,349.374,350.218,350.008,349.780,349.973,349.882,0.091,-0.014,66.222
09:44,350.265,350.390,350.120,350.230,5943,349.392,350.242,350.134,349.795,350.013,349.908,0.105,0.010,59.630
09:45,350.245,350.255,349.910,350.060,12553,349.420,350.238,350.156,349.847,350.020,349.919,0.101,0.028,54.148
09:46,350.135,350.190,349.550,349.610,19225,349.442,350.132,350.124,349.867,349.957,349.896,0.061,0.035,42.903
09:47,349.605,349.860,349.366,349.860,21971,349.458,350.034,350.093,349.925,349.942,349.893,0.049,0.037,49.213
09:48,349.785,349.785,349.500,349.690,9559,349.463,349.890,350.044,349.962,349.903,349.878,0.025,0.035,45.529
09:49,349.530,349.530,349.280,349.380,5468,349.462,349.720,349.949,349.975,349.823,349.841,-0.019,0.024,39.693
09:50,349.315,349.720,349.250,349.680,12714,349.465,349.644,349.865,349.959,349.801,349.829,-0.029,0.014,46.800
09:51,349.730,349.751,349.630,349.670,11877,349.472,349.656,349.773,349.944,349.781,349.818,-0.037,0.004,46.603
09:52,349.790,350.020,349.755,350.020,10104,349.484,349.688,349.746,349.937,349.817,349.833,-0.015,-0.000,53.918
09:53,349.925,350.130,349.890,350.010,71853,349.565,349.752,349.740,349.932,349.847,349.846,0.001,0.000,53.693
09:54,349.860,350.000,349.770,349.990,8930,349.571,349.874,349.787,349.920,349.869,349.856,0.013,0.003,53.212
09:55,349.955,350.200,349.850,349.882,15180,349.584,349.914,349.790,349.884,349.871,349.858,0.013,0.005,50.565
09:56,349.820,350.010,349.740,349.900,8746,349.589,349.960,349.816,349.845,349.875,349.861,0.014,0.007,51.012
09:57,349.870,349.910,349.570,349.570,13978,349.592,349.870,349.840,349.794,349.828,349.840,-0.011,0.003,43.454
09:58,349.600,349.925,349.565,349.925,8811,349.595,349.853,349.871,349.784,349.843,349.846,-0.003,0.002,51.738
09:59,350.000,350.000,349.720,349.821,9151,349.599,349.819,349.890,349.800,349.840,349.844,-0.004,0.001,49.444
10:00,349.865,349.865,349.500,349.620,12418,349.601,349.767,349.840,349.781,349.806,349.828,-0.022,-0.004,45.289
10:01,349.600,349.729,349.500,349.500,5338,349.601,349.687,349.776,349.767,349.759,349.803,-0.044,-0.012,42.963
10:02,349.490,349.530,349.255,349.308,11213,349.596,349.635,349.691,349.761,349.689,349.767,-0.077,-0.025,39.462
10:03,349.300,349.360,349.100,349.100,11997,349.587,349.470,349.593,349.717,349.599,349.717,-0.118,-0.044,36.051
10:04,349.070,349.150,348.910,349.090,20974,349.568,349.324,349.492,349.672,349.521,349.671,-0.150,-0.065,35.890
10:05,349.040,349.060,348.930,348.950,19841,349.549,349.190,349.414,349.590,349.433,349.617,-0.185,-0.089,33.626
10:06,348.955,348.958,348.760,348.958,6520,349.542,349.081,349.293,349.509,349.360,349.569,-0.209,-0.113,33.893
10:07,349.000,349.290,348.910,349.050,12252,349.534,349.030,349.197,349.436,349.312,349.530,-0.218,-0.134,36.904
10:08,349.070,349.070,348.702,348.702,5780,349.527,348.950,349.082,349.346,349.218,349.469,-0.251,-0.157,31.108
10:09,348.720,348.746,348.339,348.510,6965,349.516,348.834,348.958,349.239,349.109,349.398,-0.289,-0.184,28.458
10:10,348.600,348.775,348.600,348.680,4452,349.511,348.780,348.880,349.170,349.043,349.345,-0.301,-0.207,33.840
10:11,348.730,348.730,348.485,348.485,3860,349.505,348.685,348.803,349.059,348.957,349.281,-0.324,-0.230,30.963
10:12,348.370,348.380,348.180,348.185,5285,349.495,348.512,348.690,348.934,348.839,349.200,-0.361,-0.257,27.140
10:13,348.220,348.400,348.150,348.370,4989,349.486,348.446,348.618,348.838,348.766,349.138,-0.372,-0.280,32.661
10:14,348.440,348.550,348.365,348.550,5170,349.478,348.454,348.566,348.764,348.733,349.095,-0.362,-0.296,37.615
10:15,348.510,348.770,348.460,348.525,6319,349.470,348.423,348.501,348.704,348.701,349.052,-0.351,-0.307,37.205
10:16,348.590,348.850,348.590,348.790,6806,349.463,348.484,348.512,348.680,348.715,349.033,-0.318,-0.309,44.145
10:17,348.650,348.715,348.568,348.700,2986,349.459,348.587,348.536,348.650,348.712,349.008,-0.296,-0.307,42.426
10:18,348.840,349.010,348.800,349.010,4681,349.456,348.715,348.577,348.655,348.758,349.008,-0.250,-0.295,49.681
10:19,349.000,349.000,348.890,348.935,10682,349.448,348.792,348.633,348.653,348.785,349.003,-0.218,-0.280,48.103
10:20,349.150,349.250,349.110,349.150,7878,349.445,348.917,348.754,348.661,348.842,349.014,-0.172,-0.258,52.738
10:21,349.080,349.160,349.055,349.081,5025,349.442,348.975,348.843,348.690,348.878,349.019,-0.141,-0.235,51.159
10:22,349.055,349.250,348.980,349.250,6465,349.440,349.085,348.930,348.747,348.936,349.036,-0.100,-0.208,54.734
10:23,349.250,349.470,349.250,349.470,4150,349.440,349.177,349.048,348.808,349.018,349.068,-0.050,-0.176,58.947
10:24,349.420,349.432,349.200,349.430,6800,349.439,349.276,349.128,348.880,349.081,349.095,-0.014,-0.144,57.892
10:25,349.370,349.370,349.200,349.200,8870,349.437,349.286,349.191,348.959,349.099,349.103,-0.003,-0.116,52.116
10:26,349.130,349.180,349.070,349.180,5186,349.435,349.306,349.212,349.021,349.112,349.108,0.003,-0.092,51.634
10:27,349.140,349.240,349.026,349.026,5657,349.432,349.261,349.223,349.057,349.099,349.102,-0.004,-0.074,47.960
10:28,349.081,349.170,349.010,349.092,2405,349.431,349.186,349.216,349.101,349.098,349.102,-0.004,-0.060,49.603
10:29,349.225,349.270,349.170,349.170,2483,349.430,349.134,349.227,349.130,349.109,349.107,0.002,-0.048,51.574
10:30,349.215,349.470,349.150,349.290,5365,349.429,349.152,349.232,349.176,349.137,349.120,0.016,-0.035,54.511
10:31,349.240,349.380,349.240,349.380,3090,349.429,349.192,349.221,349.204,349.174,349.139,0.035,-0.021,56.636
10:32,349.375,349.570,349.350,349.370,9041,349.429,349.260,349.214,349.238,349.204,349.157,0.048,-0.007,56.321
10:33,349.298,349.510,349.298,349.490,6316,349.429,349.340,349.250,349.264,349.248,349.181,0.067,0.008,59.248
10:34,349.435,349.435,349.340,349.340,3959,349.429,349.374,349.270,349.284,349.262,349.193,0.069,0.020,54.346
10:35,349.390,349.430,349.308,349.308,4335,349.428,349.377,349.305,349.288,349.269,349.201,0.068,0.029,53.317
10:36,349.295,349.470,349.295,349.401,3078,349.428,349.382,349.344,349.283,349.289,349.216,0.073,0.038,55.899
10:37,349.470,349.610,349.470,349.520,3196,349.429,349.412,349.387,349.290,349.325,349.239,0.086,0.048,59.018
10:38,349.535,349.680,349.490,349.616,3656,349.429,349.437,349.428,349.322,349.370,349.267,0.103,0.059,61.386
10:39,349.660,349.790,349.650,349.695,3327,349.431,349.508,349.467,349.361,349.420,349.298,0.121,0.071,63.268
10:40,349.735,349.735,349.575,349.575,2087,349.431,349.561,349.493,349.404,349.444,349.319,0.125,0.082,58.615
10:41,349.660,349.765,349.635,349.750,4854,349.433,349.631,349.526,349.454,349.491,349.351,0.140,0.094,62.905
10:42,349.870,350.025,349.870,349.950,4124,349.435,349.717,349.602,349.514,349.561,349.395,0.166,0.108,67.112
10:43,349.890,349.890,349.620,349.760,7397,349.438,349.746,349.658,349.550,349.592,349.422,0.170,0.120,60.134
10:44,349.660,349.760,349.635,349.662,3985,349.439,349.740,349.691,349.572,349.603,349.440,0.163,0.129,56.860
10:45,349.680,349.810,349.680,349.720,5531,349.441,349.768,349.716,349.599,349.621,349.461,0.160,0.135,58.304
10:46,349.700,349.770,349.690,349.710,6491,349.444,349.760,349.728,349.616,349.635,349.479,0.155,0.139,57.942
10:47,349.765,349.845,349.755,349.780,5642,349.446,349.726,349.738,349.650,349.657,349.502,0.155,0.142,59.822
10:48,349.640,349.660,349.500,349.600,5777,349.447,349.694,349.742,349.672,349.648,349.509,0.139,0.142,53.232
10:49,349.630,349.770,349.630,349.770,2040,349.448,349.716,349.744,349.701,349.667,349.528,0.139,0.141,57.944
10:50,349.655,349.819,349.655,349.770,2262,349.448,349.726,349.722,349.720,349.683,349.546,0.137,0.140,57.944
10:51,349.775,349.820,349.775,349.820,2778,349.450,349.748,349.729,349.736,349.704,349.566,0.138,0.140,59.342
