time,open,high,low,close,volume,VWAP,5SMA,8SMA,13SMA,12EMA,26EMA,MACD,MACDS,RSI
09:00,174.887,174.887,174.887,174.887,0,174.926,174.733,174.709,174.767,174.777,174.807,-0.030,-0.032,55.732
09:01,174.900,174.900,174.900,174.900,230,174.925,174.787,174.728,174.774,174.796,174.813,-0.018,-0.029,56.549
09:02,174.900,174.900,174.900,174.900,0,174.925,174.841,174.762,174.782,174.812,174.820,-0.008,-0.025,56.549
09:03,174.900,174.900,174.900,174.900,0,174.925,174.895,174.796,174.781,174.825,174.826,-0.001,-0.020,56.549
09:04,174.900,174.900,174.900,174.900,0,174.925,174.897,174.829,174.780,174.837,174.831,0.005,-0.015,56.549
09:05,174.900,174.900,174.900,174.900,0,174.925,174.900,174.863,174.783,174.847,174.836,0.010,-0.010,56.549
09:06,174.900,174.900,174.900,174.900,528,174.925,174.900,174.897,174.794,174.855,174.841,0.014,-0.005,56.537
09:07,174.900,174.900,174.900,174.900,0,174.925,174.900,174.898,174.815,174.862,174.845,0.016,-0.001,56.537
09:08,174.780,174.780,174.750,174.750,332,174.925,174.870,174.881,174.824,174.844,174.838,0.006,0.000,41.305
09:09,174.750,174.750,174.750,174.750,0,174.925,174.840,174.862,174.833,174.830,174.832,-0.002,-0.000,41.305
09:10,174.750,174.750,174.750,174.750,0,174.925,174.810,174.844,174.843,174.818,174.826,-0.008,-0.002,41.305
09:11,174.900,174.930,174.900,174.930,605,174.925,174.816,174.847,174.866,174.835,174.833,0.001,-0.001,58.196
09:12,174.930,174.930,174.930,174.930,0,174.925,174.822,174.851,174.869,174.850,174.841,0.009,0.001,58.196
09:13,174.930,174.930,174.930,174.930,0,174.925,174.858,174.855,174.872,174.862,174.847,0.015,0.004,58.196
09:14,174.930,174.930,174.930,174.930,0,174.925,174.894,174.859,174.875,174.872,174.853,0.019,0.007,58.196
09:15,174.880,174.880,174.880,174.880,619,174.924,174.920,174.856,174.873,174.874,174.855,0.018,0.009,52.546
09:16,174.880,174.880,174.880,174.880,0,174.924,174.910,174.873,174.872,174.875,174.857,0.017,0.011,52.546
09:17,174.880,174.880,174.880,174.880,0,174.924,174.900,174.889,174.870,174.875,174.859,0.017,0.012,52.546
09:18,174.870,174.870,174.870,174.870,121,174.924,174.888,174.904,174.868,174.875,174.860,0.015,0.012,51.302
09:19,174.800,174.800,174.700,174.700,1351,174.921,174.842,174.875,174.852,174.848,174.848,-0.000,0.010,35.789
09:20,174.800,174.800,174.800,174.800,368,174.921,174.826,174.859,174.845,174.840,174.844,-0.004,0.007,46.112
09:21,174.710,174.710,174.710,174.710,533,174.919,174.792,174.831,174.842,174.820,174.834,-0.014,0.003,39.895
09:22,174.710,174.710,174.710,174.710,0,174.919,174.758,174.804,174.838,174.803,174.825,-0.022,-0.002,39.895
09:23,174.710,174.710,174.710,174.710,0,174.919,174.726,174.782,174.835,174.789,174.817,-0.028,-0.007,39.895
09:24,174.880,174.880,174.880,174.880,1108,174.919,174.762,174.783,174.832,174.803,174.821,-0.018,-0.009,54.399
09:25,174.880,174.880,174.880,174.880,0,174.919,174.778,174.783,174.828,174.815,174.826,-0.011,-0.010,54.399
09:26,174.880,174.880,174.880,174.880,810,174.918,174.812,174.784,174.824,174.825,174.830,-0.005,-0.009,54.399
09:27,174.870,174.870,174.870,174.870,1220,174.918,174.844,174.805,174.819,174.832,174.833,-0.001,-0.007,53.451
09:28,174.880,174.880,174.880,174.880,5293,174.916,174.878,174.815,174.819,174.839,174.836,0.003,-0.005,54.308
09:29,174.880,174.880,174.870,174.880,2393,174.915,174.878,174.836,174.819,174.845,174.839,0.006,-0.003,54.308
09:30,174.840,174.950,174.465,174.630,31263,174.682,174.828,174.826,174.800,174.812,174.824,-0.012,-0.005,35.406
09:31,174.600,174.600,174.100,174.140,33022,174.475,174.680,174.755,174.744,174.709,174.773,-0.064,-0.017,20.410
09:32,174.100,174.100,173.850,173.920,12660,174.390,174.490,174.635,174.684,174.588,174.710,-0.123,-0.038,16.941
09:33,173.880,174.000,173.600,173.915,359557,173.936,174.297,174.514,174.616,174.484,174.651,-0.167,-0.064,16.871
09:34,173.890,174.480,173.600,173.660,91342,173.932,174.053,174.362,174.535,174.357,174.578,-0.220,-0.095,13.744
09:35,173.720,173.850,173.100,173.136,48823,173.883,173.754,174.145,174.414,174.169,174.471,-0.302,-0.136,9.746
09:36,173.090,173.160,172.760,172.955,75369,173.777,173.517,173.904,174.279,173.983,174.359,-0.376,-0.184,8.794
09:37,172.980,173.420,172.960,173.300,63610,173.728,173.393,173.707,174.157,173.878,174.280,-0.403,-0.228,24.022
09:38,173.320,173.520,173.090,173.150,52242,173.695,173.240,173.522,174.024,173.766,174.197,-0.431,-0.269,22.280
09:39,173.125,173.390,173.050,173.300,34628,173.676,173.168,173.417,173.903,173.694,174.130,-0.436,-0.302,27.910
09:40,173.335,173.640,173.250,173.450,34513,173.667,173.231,173.358,173.794,173.656,174.080,-0.423,-0.326,33.126
09:41,173.530,173.580,173.190,173.360,35426,173.655,173.312,173.289,173.677,173.611,174.026,-0.416,-0.344,31.646
09:42,173.350,173.429,173.230,173.360,48351,173.638,173.324,173.251,173.560,173.572,173.977,-0.405,-0.356,31.646
09:43,173.380,173.690,173.280,173.682,24464,173.636,173.430,173.320,173.487,173.589,173.955,-0.366,-0.358,42.334
09:44,173.660,173.884,173.400,173.560,31247,173.635,173.482,173.395,173.442,173.585,173.926,-0.341,-0.355,39.795
09:45,173.560,173.840,173.360,173.440,39706,173.632,173.480,173.413,173.405,173.562,173.890,-0.328,-0.349,37.418
09:46,173.490,173.670,173.260,173.420,35652,173.626,173.492,173.447,173.367,173.540,173.855,-0.315,-0.342,37.021
09:47,173.360,173.430,173.140,173.206,53399,173.608,173.462,173.435,173.332,173.489,173.807,-0.318,-0.338,32.987
09:48,173.235,173.840,173.235,173.460,54363,173.603,173.417,173.436,173.357,173.485,173.781,-0.297,-0.329,41.179
09:49,173.410,173.600,173.200,173.285,41274,173.595,173.362,173.427,173.383,173.454,173.745,-0.291,-0.322,37.756
09:50,173.250,173.259,173.020,173.235,45258,173.580,173.321,173.411,173.378,173.420,173.707,-0.287,-0.315,36.814
09:51,173.240,173.818,173.240,173.735,20879,173.580,173.384,173.418,173.423,173.469,173.709,-0.240,-0.300,50.192
09:52,173.617,173.680,173.390,173.655,9647,173.580,173.474,173.429,173.450,173.497,173.705,-0.208,-0.281,48.425
09:53,173.750,173.990,173.750,173.960,21924,173.585,173.574,173.494,173.489,173.568,173.724,-0.155,-0.256,54.937
09:54,173.915,174.102,173.860,174.020,29092,173.594,173.721,173.569,173.540,173.638,173.746,-0.108,-0.226,56.111
09:55,174.022,174.340,174.000,174.320,32286,173.609,173.938,173.709,173.614,173.743,173.788,-0.045,-0.190,61.511
09:56,174.250,174.410,174.195,174.285,34441,173.626,174.048,173.812,173.660,173.826,173.825,0.001,-0.152,60.574
09:57,174.320,174.560,174.230,174.530,31219,173.644,174.223,173.968,173.735,173.935,173.877,0.057,-0.110,64.633
09:58,174.560,174.690,174.490,174.675,27414,173.662,174.366,174.148,173.830,174.048,173.936,0.112,-0.066,66.810
09:59,174.700,174.890,174.617,174.850,57396,173.705,174.532,174.287,173.940,174.172,174.004,0.168,-0.019,69.269
10:00,174.835,175.000,174.760,174.980,305816,173.909,174.664,174.452,174.076,174.296,174.076,0.220,0.029,70.989
10:01,174.960,175.000,174.811,174.870,79077,173.950,174.781,174.566,174.185,174.384,174.135,0.249,0.073,67.545
10:02,174.900,174.970,174.810,174.950,57442,173.978,174.865,174.682,174.313,174.471,174.195,0.276,0.113,68.733
