time,open,high,low,close,volume,VWAP,5SMA,8SMA,13SMA,12EMA,26EMA,MACD,MACDS,RSI
09:00,101.900,101.900,101.900,101.900,671,101.757,101.899,101.943,101.982,101.942,101.916,0.027,0.055,49.793
09:01,101.910,101.920,101.900,101.900,2463,101.760,101.879,101.924,101.972,101.936,101.914,0.021,0.048,49.793
09:02,101.900,101.900,101.900,101.900,0,101.760,101.893,101.912,101.962,101.930,101.913,0.017,0.042,49.793
09:03,101.992,101.992,101.992,101.992,373,101.760,101.925,101.911,101.966,101.940,101.919,0.021,0.038,56.696
09:04,102.000,102.000,102.000,102.000,156,101.761,101.938,101.911,101.957,101.949,101.925,0.024,0.035,57.268
09:05,102.000,102.000,102.000,102.000,0,101.761,101.958,101.932,101.949,101.957,101.931,0.026,0.033,57.268
09:06,102.000,102.000,102.000,102.000,1462,101.763,101.978,101.953,101.945,101.964,101.936,0.028,0.032,57.268
09:07,102.000,102.000,102.000,102.000,0,101.763,101.998,101.961,101.945,101.969,101.941,0.029,0.031,57.268
09:08,101.910,101.910,101.840,101.840,1175,101.764,101.968,101.954,101.933,101.949,101.933,0.016,0.028,42.653
09:09,101.900,101.900,101.850,101.850,550,101.764,101.938,101.948,101.921,101.934,101.927,0.007,0.024,43.651
09:10,101.850,101.850,101.850,101.850,0,101.764,101.908,101.942,101.923,101.921,101.921,-0.000,0.019,43.651
09:11,101.880,101.880,101.880,101.880,267,101.765,101.884,101.928,101.927,101.915,101.918,-0.003,0.015,46.739
09:12,101.880,101.880,101.880,101.880,334,101.765,101.860,101.913,101.923,101.909,101.915,-0.006,0.011,46.739
09:13,101.880,101.880,101.880,101.880,0,101.765,101.868,101.898,101.921,101.905,101.913,-0.008,0.007,46.739
09:14,101.880,101.880,101.880,101.880,0,101.765,101.874,101.883,101.919,101.901,101.910,-0.009,0.004,46.739
09:15,101.880,101.880,101.880,101.880,1327,101.766,101.880,101.868,101.918,101.898,101.908,-0.010,0.001,46.739
09:16,101.880,101.880,101.850,101.850,1603,101.767,101.874,101.869,101.907,101.891,101.904,-0.013,-0.002,43.258
09:17,101.850,101.850,101.800,101.800,671,101.767,101.858,101.863,101.892,101.877,101.896,-0.020,-0.005,38.159
09:18,101.800,101.800,101.800,101.800,0,101.767,101.842,101.856,101.876,101.865,101.889,-0.024,-0.009,38.159
09:19,101.780,101.890,101.780,101.890,428,101.767,101.844,101.857,101.868,101.869,101.889,-0.020,-0.011,50.373
09:20,101.890,101.890,101.890,101.890,0,101.767,101.846,101.859,101.859,101.872,101.889,-0.017,-0.013,50.373
09:21,101.810,101.810,101.810,101.810,360,101.767,101.838,101.850,101.857,101.862,101.883,-0.021,-0.014,41.851
09:22,101.780,101.780,101.780,101.780,2154,101.768,101.834,101.838,101.852,101.850,101.876,-0.026,-0.017,39.175
09:23,101.750,101.750,101.750,101.750,958,101.767,101.824,101.821,101.844,101.834,101.866,-0.032,-0.020,36.651
09:24,101.760,101.780,101.760,101.780,2027,101.767,101.802,101.812,101.836,101.826,101.860,-0.034,-0.022,40.761
09:25,101.730,101.780,101.640,101.780,8371,101.766,101.780,101.810,101.828,101.819,101.854,-0.035,-0.025,40.761
09:26,101.680,101.680,101.680,101.680,280,101.766,101.754,101.795,101.813,101.798,101.841,-0.044,-0.029,32.587
09:27,101.690,101.690,101.510,101.510,11262,101.753,101.700,101.748,101.785,101.753,101.817,-0.063,-0.036,23.836
09:28,101.560,101.560,101.560,101.560,161,101.753,101.662,101.706,101.760,101.724,101.798,-0.074,-0.043,29.807
09:29,101.560,101.560,101.560,101.560,0,101.753,101.618,101.675,101.738,101.698,101.780,-0.082,-0.051,29.807
09:30,101.740,101.950,101.550,101.790,496704,101.763,101.620,101.676,101.737,101.713,101.781,-0.068,-0.054,50.506
09:31,101.780,102.010,101.710,101.938,141244,101.790,101.672,101.700,101.748,101.747,101.792,-0.045,-0.053,58.894
09:32,101.930,102.040,101.850,101.970,82030,101.809,101.764,101.723,101.754,101.781,101.806,-0.024,-0.047,60.466
09:33,101.980,102.140,101.890,102.130,75132,101.832,101.878,101.767,101.772,101.835,101.830,0.006,-0.036,67.182
09:34,102.140,102.330,102.130,102.220,83976,101.870,102.010,101.835,101.804,101.894,101.858,0.036,-0.022,70.244
09:35,102.210,102.270,102.050,102.110,148867,101.909,102.074,101.910,101.829,101.927,101.877,0.050,-0.007,62.561
09:36,102.120,102.160,102.000,102.070,139697,101.929,102.100,101.973,101.854,101.949,101.891,0.058,0.006,59.991
09:37,102.070,102.090,101.930,101.980,143371,101.937,102.102,102.026,101.869,101.954,101.898,0.056,0.016,54.561
09:38,101.990,102.120,101.979,102.030,106108,101.945,102.082,102.056,101.888,101.966,101.908,0.058,0.024,56.895
09:39,102.030,102.220,102.020,102.170,110718,101.959,102.072,102.085,101.926,101.997,101.927,0.070,0.033,62.677
09:40,102.170,102.250,102.070,102.170,96106,101.971,102.084,102.110,101.977,102.024,101.945,0.079,0.042,62.677
09:41,102.164,102.280,102.150,102.250,215955,102.001,102.120,102.125,102.030,102.059,101.968,0.091,0.052,65.724
09:42,102.260,102.410,102.200,102.400,346818,102.054,102.204,102.148,102.094,102.111,102.000,0.111,0.064,70.575
09:43,102.420,102.420,102.270,102.290,189344,102.076,102.256,102.170,102.133,102.139,102.021,0.117,0.075,63.480
09:44,102.285,102.305,102.135,102.179,40674,102.078,102.258,102.184,102.151,102.145,102.033,0.112,0.082,57.223
09:45,102.180,102.480,102.160,102.470,108629,102.091,102.318,102.245,102.190,102.195,102.065,0.130,0.092,66.531
09:46,102.480,102.480,102.300,102.310,59755,102.097,102.330,102.280,102.204,102.213,102.083,0.129,0.099,58.940
09:47,102.305,102.305,102.160,102.249,49380,102.100,102.300,102.290,102.206,102.218,102.096,0.122,0.104,56.302
09:48,102.230,102.230,102.070,102.070,59989,102.100,102.256,102.277,102.203,102.195,102.094,0.102,0.103,49.326
09:49,102.070,102.210,102.070,102.120,39021,102.101,102.244,102.261,102.207,102.184,102.096,0.088,0.100,51.147
09:50,102.130,102.210,102.090,102.190,38624,102.102,102.188,102.235,102.223,102.185,102.103,0.082,0.097,53.658
09:51,102.210,102.290,102.160,102.260,48115,102.104,102.178,102.231,102.241,102.196,102.114,0.082,0.094,56.088
09:52,102.250,102.420,102.250,102.420,59703,102.109,102.212,102.261,102.260,102.231,102.137,0.094,0.094,61.108
09:53,102.430,102.530,102.420,102.500,49688,102.116,102.298,102.265,102.285,102.272,102.164,0.108,0.097,63.364
09:54,102.510,102.550,102.380,102.427,57845,102.122,102.359,102.280,102.299,102.296,102.183,0.113,0.100,59.961
09:55,102.430,102.440,102.360,102.405,60331,102.128,102.402,102.299,102.299,102.313,102.200,0.113,0.102,58.916
09:56,102.410,102.410,102.190,102.200,113411,102.133,102.390,102.315,102.292,102.295,102.200,0.096,0.101,50.245
09:57,102.210,102.210,102.080,102.145,76189,102.133,102.335,102.318,102.290,102.272,102.196,0.077,0.096,48.195
09:58,102.140,102.145,102.070,102.125,86519,102.132,102.260,102.310,102.263,102.250,102.191,0.059,0.089,47.438
09:59,102.120,102.170,102.095,102.130,47904,102.132,102.201,102.294,102.249,102.231,102.186,0.045,0.080,47.659
10:00,102.130,102.130,101.860,101.870,119062,102.126,102.094,102.225,102.220,102.176,102.163,0.013,0.067,38.558
10:01,101.860,101.940,101.810,101.930,71035,102.122,102.040,102.154,102.209,102.138,102.145,-0.008,0.052,41.342
10:02,101.940,101.970,101.890,101.890,75001,102.117,101.989,102.087,102.192,102.100,102.126,-0.027,0.036,40.039
10:03,101.900,102.040,101.900,102.000,82052,102.114,101.964,102.036,102.177,102.084,102.117,-0.033,0.022,45.156
