time,open,high,low,close,volume,VWAP,5SMA,8SMA,13SMA,12EMA,26EMA,MACD,MACDS,RSI
09:00,352.680,352.680,352.680,352.680,0,350.947,352.680,352.680,352.680,352.639,352.402,0.236,0.286,77.496
09:01,352.680,352.680,352.680,352.680,0,350.947,352.680,352.680,352.680,352.645,352.423,0.222,0.273,77.496
09:02,352.680,352.680,352.680,352.680,0,350.947,352.680,352.680,352.680,352.650,352.442,0.208,0.260,77.496
09:03,352.680,352.680,352.680,352.680,0,350.947,352.680,352.680,352.680,352.655,352.460,0.195,0.247,77.496
09:04,352.680,352.680,352.680,352.680,0,350.947,352.680,352.680,352.680,352.659,352.476,0.183,0.234,77.496
09:05,352.680,352.680,352.680,352.680,0,350.947,352.680,352.680,352.680,352.662,352.491,0.171,0.222,77.496
09:06,352.680,352.680,352.680,352.680,0,350.947,352.680,352.680,352.680,352.665,352.505,0.160,0.209,77.496
09:07,352.680,352.680,352.680,352.680,0,350.947,352.680,352.680,352.680,352.667,352.518,0.149,0.197,77.496
09:08,352.680,352.680,352.680,352.680,0,350.947,352.680,352.680,352.680,352.669,352.530,0.139,0.186,77.496
09:09,352.680,352.680,352.680,352.680,0,350.947,352.680,352.680,352.680,352.671,352.541,0.130,0.174,77.496
09:10,352.680,352.680,352.680,352.680,0,350.947,352.680,352.680,352.680,352.672,352.551,0.121,0.164,77.496
09:11,352.680,352.680,352.680,352.680,0,350.947,352.680,352.680,352.680,352.673,352.561,0.113,0.153,77.496
09:12,352.680,352.680,352.680,352.680,0,350.947,352.680,352.680,352.680,352.674,352.570,0.105,0.144,77.496
09:13,352.680,352.680,352.680,352.680,0,350.947,352.680,352.680,352.680,352.675,352.578,0.097,0.134,77.496
09:14,352.680,352.680,352.680,352.680,0,350.947,352.680,352.680,352.680,352.676,352.585,0.091,0.126,77.496
09:15,352.680,352.680,352.680,352.680,0,350.947,352.680,352.680,352.680,352.677,352.592,0.084,0.117,77.496
09:16,352.680,352.680,352.680,352.680,0,350.947,352.680,352.680,352.680,352.677,352.599,0.078,0.110,77.496
09:17,352.680,352.680,352.680,352.680,0,350.947,352.680,352.680,352.680,352.678,352.605,0.073,0.102,77.496
09:18,352.680,352.680,352.680,352.680,0,350.947,352.680,352.680,352.680,352.678,352.611,0.067,0.095,77.496
