time,open,high,low,close,volume,VWAP,5SMA,8SMA,13SMA,12EMA,26EMA,MACD,MACDS,RSI
09:00,142.780,142.780,142.780,142.780,0,142.800,142.780,142.795,142.800,142.781,142.764,0.017,0.017,56.153
09:01,142.780,142.780,142.780,142.780,0,142.800,142.780,142.787,142.805,142.781,142.765,0.016,0.017,56.153
09:02,142.780,142.780,142.780,142.780,0,142.800,142.780,142.780,142.803,142.781,142.766,0.014,0.016,56.153
09:03,142.780,142.780,142.780,142.780,0,142.800,142.780,142.780,142.798,142.781,142.767,0.013,0.016,56.153
09:04,142.780,142.780,142.780,142.780,0,142.800,142.780,142.780,142.794,142.780,142.768,0.012,0.015,56.153
09:05,142.780,142.780,142.780,142.780,0,142.800,142.780,142.780,142.789,142.780,142.769,0.011,0.014,56.153
09:06,142.740,142.740,142.740,142.740,300,142.795,142.772,142.775,142.782,142.774,142.767,0.007,0.013,39.814
09:07,142.740,142.740,142.740,142.740,0,142.795,142.764,142.770,142.774,142.769,142.765,0.004,0.011,39.814
09:08,142.740,142.740,142.740,142.740,0,142.795,142.756,142.765,142.771,142.764,142.763,0.001,0.009,39.814
09:09,142.760,142.780,142.760,142.780,374,142.793,142.756,142.765,142.771,142.767,142.764,0.003,0.008,55.857
09:10,142.850,142.850,142.850,142.850,310,142.797,142.770,142.774,142.776,142.780,142.771,0.009,0.008,70.617
09:11,142.850,142.850,142.850,142.850,200,142.799,142.792,142.782,142.782,142.790,142.777,0.014,0.009,70.617
09:12,142.850,142.850,142.850,142.850,0,142.799,142.814,142.791,142.787,142.800,142.782,0.018,0.011,70.617
09:13,142.850,142.850,142.850,142.850,0,142.799,142.836,142.800,142.792,142.807,142.787,0.020,0.013,70.617
09:14,142.850,142.850,142.850,142.850,0,142.799,142.850,142.814,142.798,142.814,142.792,0.022,0.015,70.617
09:15,142.820,142.820,142.820,142.820,103,142.800,142.844,142.824,142.801,142.815,142.794,0.021,0.016,58.478
09:16,142.840,142.840,142.840,142.840,100,142.800,142.842,142.836,142.805,142.819,142.797,0.022,0.017,63.040
09:17,142.840,142.840,142.840,142.840,0,142.800,142.840,142.844,142.810,142.822,142.800,0.022,0.018,63.040
09:18,142.770,142.770,142.760,142.760,261,142.799,142.822,142.833,142.808,142.812,142.797,0.015,0.017,41.758
09:19,142.760,142.760,142.760,142.760,0,142.799,142.804,142.821,142.810,142.804,142.795,0.010,0.016,41.758
09:20,142.760,142.760,142.760,142.760,0,142.799,142.792,142.810,142.812,142.798,142.792,0.005,0.014,41.758
09:21,142.760,142.760,142.760,142.760,0,142.799,142.776,142.799,142.813,142.792,142.790,0.002,0.011,41.758
09:22,142.760,142.760,142.760,142.760,0,142.799,142.760,142.787,142.812,142.787,142.787,-0.001,0.009,41.758
09:23,142.760,142.760,142.760,142.760,0,142.799,142.760,142.780,142.805,142.783,142.785,-0.003,0.007,41.758
09:24,142.790,142.790,142.790,142.790,134,142.798,142.766,142.774,142.800,142.784,142.786,-0.002,0.005,51.363
09:25,142.850,142.850,142.850,142.850,1031,142.807,142.784,142.775,142.800,142.794,142.791,0.003,0.005,64.111
09:26,142.850,142.850,142.850,142.850,0,142.807,142.802,142.786,142.800,142.803,142.795,0.008,0.005,64.111
09:27,142.850,142.850,142.850,142.850,0,142.807,142.820,142.797,142.800,142.810,142.799,0.011,0.006,64.111
09:28,142.740,142.740,142.740,142.740,408,142.803,142.816,142.795,142.794,142.799,142.795,0.005,0.006,40.065
09:29,142.800,142.800,142.650,142.650,1509,142.784,142.788,142.781,142.779,142.776,142.784,-0.008,0.003,30.114
09:30,142.650,142.660,142.310,142.660,129861,142.543,142.750,142.769,142.765,142.758,142.775,-0.016,-0.001,32.052
09:31,142.600,142.600,142.276,142.320,31955,142.515,142.644,142.714,142.732,142.691,142.741,-0.050,-0.011,15.583
09:32,142.380,142.520,142.320,142.520,11301,142.511,142.578,142.680,142.713,142.665,142.725,-0.060,-0.020,36.332
09:33,142.507,142.590,142.370,142.380,13546,142.506,142.506,142.621,142.684,142.621,142.699,-0.078,-0.032,30.652
09:34,142.470,142.650,142.470,142.620,15404,142.512,142.500,142.592,142.673,142.621,142.693,-0.073,-0.040,46.183
09:35,142.760,142.870,142.675,142.869,24816,142.544,142.542,142.595,142.681,142.659,142.706,-0.047,-0.042,56.954
09:36,142.870,143.049,142.830,143.049,20945,142.580,142.688,142.633,142.704,142.719,142.732,-0.013,-0.036,62.757
09:37,143.100,143.145,142.990,143.130,17914,142.614,142.810,142.693,142.730,142.782,142.761,0.021,-0.024,65.041
09:38,143.100,143.239,143.020,143.239,12241,142.639,142.981,142.766,142.760,142.852,142.797,0.056,-0.008,67.894
09:39,143.200,143.339,143.150,143.260,9647,142.659,143.109,142.883,142.791,142.915,142.831,0.084,0.010,68.429
09:40,143.220,143.290,143.180,143.231,9121,142.677,143.182,142.972,142.821,142.964,142.861,0.103,0.029,66.775
09:41,143.220,143.250,143.118,143.250,12799,142.699,143.222,143.081,142.860,143.008,142.889,0.118,0.047,67.332
09:42,143.255,143.330,143.220,143.280,16946,142.729,143.252,143.163,142.908,143.050,142.918,0.131,0.064,68.238
09:43,143.265,143.380,143.220,143.309,14296,142.753,143.266,143.218,142.958,143.090,142.947,0.142,0.079,69.126
09:44,143.290,143.290,143.140,143.174,15565,142.772,143.249,143.234,143.024,143.102,142.964,0.138,0.091,60.599
09:45,143.190,143.210,143.030,143.080,15243,142.786,143.219,143.228,143.067,143.099,142.973,0.126,0.098,55.481
09:46,143.050,143.380,143.030,143.380,9666,142.798,143.245,143.245,143.144,143.142,143.003,0.139,0.106,65.512
09:47,143.380,143.380,143.240,143.270,14182,142.816,143.243,143.247,143.194,143.162,143.023,0.139,0.113,60.160
09:48,143.300,143.410,143.280,143.280,13539,142.833,143.237,143.253,143.226,143.180,143.042,0.138,0.118,60.476
09:49,143.310,143.340,143.200,143.230,14235,142.847,143.248,143.250,143.239,143.188,143.056,0.132,0.121,57.998
09:50,143.215,143.270,143.190,143.250,14401,142.860,143.282,143.247,143.249,143.197,143.070,0.127,0.122,58.726
09:51,143.230,143.360,143.190,143.335,14035,142.873,143.273,143.250,143.256,143.219,143.090,0.129,0.124,61.762
09:52,143.335,143.395,143.240,143.395,10397,142.884,143.298,143.278,143.266,143.246,143.112,0.133,0.126,63.787
09:53,143.395,143.395,143.310,143.330,11291,142.895,143.308,143.309,143.274,143.259,143.128,0.130,0.126,60.075
09:54,143.322,143.460,143.300,143.460,7511,142.903,143.354,143.319,143.290,143.290,143.153,0.137,0.128,64.522
09:55,143.450,143.516,143.410,143.460,11330,142.916,143.396,143.343,143.304,143.316,143.176,0.140,0.131,64.522
09:56,143.460,143.530,143.460,143.526,7748,142.925,143.434,143.373,143.321,143.348,143.202,0.146,0.134,66.692
09:57,143.500,143.510,143.390,143.390,9863,142.935,143.433,143.393,143.337,143.355,143.216,0.139,0.135,58.698
09:58,143.390,143.500,143.360,143.465,14526,142.949,143.460,143.420,143.367,143.372,143.234,0.137,0.135,61.450
09:59,143.430,143.570,143.430,143.480,27642,142.976,143.464,143.438,143.375,143.388,143.252,0.136,0.136,61.996
10:00,143.470,143.500,143.360,143.370,12384,142.986,143.446,143.435,143.382,143.385,143.261,0.124,0.133,55.764
10:01,143.370,143.450,143.370,143.420,7370,142.991,143.425,143.446,143.393,143.391,143.273,0.118,0.130,57.838
10:02,143.440,143.490,143.385,143.405,20554,143.006,143.428,143.439,143.407,143.393,143.283,0.110,0.126,56.975
10:03,143.470,143.670,143.470,143.510,23939,143.027,143.437,143.446,143.427,143.411,143.299,0.112,0.123,61.326
