time,open,high,low,close,volume,VWAP,5SMA,8SMA,13SMA,12EMA,26EMA,MACD,MACDS,RSI
09:00,371.500,371.500,371.500,371.500,0,371.482,371.500,371.500,371.500,371.500,371.500,0.000,0.000,NaN
09:01,371.500,371.500,371.500,371.500,0,371.482,371.500,371.500,371.500,371.500,371.500,0.000,0.000,NaN
09:02,371.500,371.500,371.500,371.500,0,371.482,371.500,371.500,371.500,371.500,371.500,0.000,0.000,NaN
09:03,371.500,371.500,371.500,371.500,0,371.482,371.500,371.500,371.500,371.500,371.500,0.000,0.000,NaN
09:04,371.500,371.500,371.500,371.500,0,371.482,371.500,371.500,371.500,371.500,371.500,0.000,0.000,NaN
09:05,371.500,371.500,371.500,371.500,0,371.482,371.500,371.500,371.500,371.500,371.500,0.000,0.000,NaN
09:06,371.500,371.500,371.500,371.500,0,371.482,371.500,371.500,371.500,371.500,371.500,0.000,0.000,NaN
09:07,371.500,371.500,371.500,371.500,0,371.482,371.500,371.500,371.500,371.500,371.500,0.000,0.000,NaN
09:08,371.500,371.500,371.500,371.500,0,371.482,371.500,371.500,371.500,371.500,371.500,0.000,0.000,NaN
09:09,371.970,371.970,371.970,371.970,198,371.525,371.594,371.559,371.536,371.572,371.535,0.037,0.007,100.000
09:10,371.970,371.970,371.970,371.970,0,371.525,371.688,371.618,371.572,371.633,371.567,0.066,0.019,100.000
09:11,371.970,371.970,371.970,371.970,0,371.525,371.782,371.676,371.608,371.685,371.597,0.088,0.033,100.000
09:12,371.970,371.970,371.970,371.970,0,371.525,371.876,371.735,371.645,371.729,371.625,0.105,0.047,100.000
09:13,371.970,371.970,371.970,371.970,0,371.525,371.970,371.794,371.681,371.766,371.650,0.116,0.061,100.000
09:14,371.970,371.970,371.970,371.970,0,371.525,371.970,371.853,371.717,371.797,371.674,0.124,0.074,100.000
09:15,371.970,371.970,371.970,371.970,0,371.525,371.970,371.911,371.753,371.824,371.696,0.128,0.085,100.000
09:16,371.970,371.970,371.970,371.970,0,371.525,371.970,371.970,371.789,371.846,371.716,0.130,0.094,100.000
09:17,371.970,371.970,371.970,371.970,0,371.525,371.970,371.970,371.825,371.865,371.735,0.131,0.101,100.000
09:18,371.970,371.970,371.970,371.970,0,371.525,371.970,371.970,371.862,371.882,371.752,0.129,0.107,100.000
09:19,371.970,371.970,371.970,371.970,0,371.525,371.970,371.970,371.898,371.895,371.768,0.127,0.111,100.000
09:20,371.970,371.970,371.970,371.970,0,371.525,371.970,371.970,371.934,371.907,371.783,0.123,0.113,100.000
09:21,371.970,371.970,371.970,371.970,0,371.525,371.970,371.970,371.970,371.916,371.797,0.119,0.114,100.000
09:22,372.610,372.610,372.610,372.610,100,371.571,372.098,372.050,372.019,372.023,371.857,0.166,0.125,100.000
09:23,372.610,372.610,372.610,372.610,0,371.571,372.226,372.130,372.068,372.113,371.913,0.200,0.140,100.000
09:24,372.610,372.610,372.610,372.610,0,371.571,372.354,372.210,372.118,372.190,371.965,0.225,0.157,100.000
09:25,372.610,372.610,372.610,372.610,0,371.571,372.482,372.290,372.167,372.254,372.013,0.242,0.174,100.000
09:26,372.610,372.610,372.610,372.610,0,371.571,372.610,372.370,372.216,372.309,372.057,0.252,0.190,100.000
09:27,372.610,372.610,372.610,372.610,0,371.571,372.610,372.450,372.265,372.355,372.098,0.258,0.203,100.000
09:28,373.610,373.610,373.610,373.610,311,371.811,372.810,372.655,372.392,372.548,372.210,0.339,0.230,100.000
