time,open,high,low,close,volume,VWAP,5SMA,8SMA,13SMA,12EMA,26EMA,MACD,MACDS,RSI
09:00,141.380,141.490,141.380,141.450,1953,141.608,141.356,141.241,141.171,141.246,141.215,0.031,-0.025,65.414
09:01,141.380,141.380,141.380,141.380,1069,141.606,141.376,141.282,141.196,141.267,141.227,0.039,-0.013,59.972
09:02,141.330,141.330,141.330,141.330,399,141.606,141.386,141.330,141.218,141.276,141.235,0.041,-0.002,56.365
09:03,141.330,141.330,141.330,141.330,0,141.606,141.396,141.352,141.240,141.285,141.242,0.043,0.007,56.365
09:04,141.330,141.330,141.330,141.330,1228,141.604,141.364,141.359,141.262,141.292,141.248,0.043,0.014,56.365
09:05,141.330,141.330,141.260,141.260,1171,141.603,141.326,141.356,141.274,141.287,141.249,0.037,0.019,51.001
09:06,141.330,141.330,141.330,141.330,456,141.602,141.316,141.363,141.295,141.293,141.255,0.038,0.023,55.574
09:07,141.380,141.400,141.380,141.400,1153,141.601,141.330,141.351,141.330,141.310,141.266,0.044,0.027,59.599
09:08,141.410,141.410,141.410,141.410,199,141.601,141.346,141.346,141.350,141.325,141.277,0.049,0.031,60.157
09:09,141.370,141.500,141.370,141.500,3525,141.598,141.380,141.361,141.367,141.352,141.293,0.059,0.037,64.859
09:10,141.500,141.500,141.500,141.500,0,141.598,141.428,141.383,141.384,141.375,141.309,0.066,0.043,64.859
09:11,141.500,141.500,141.500,141.500,0,141.598,141.462,141.404,141.401,141.394,141.323,0.071,0.048,64.859
09:12,141.320,141.320,141.300,141.300,2929,141.595,141.442,141.400,141.386,141.380,141.321,0.059,0.050,48.855
09:13,141.440,141.440,141.440,141.440,1369,141.594,141.448,141.423,141.385,141.389,141.330,0.059,0.052,56.877
09:14,141.440,141.500,141.440,141.500,1902,141.593,141.448,141.444,141.395,141.406,141.342,0.064,0.054,59.788
09:15,141.420,141.420,141.420,141.420,1029,141.592,141.432,141.446,141.402,141.408,141.348,0.060,0.056,54.505
09:16,141.420,141.420,141.420,141.420,1404,141.591,141.416,141.447,141.408,141.410,141.354,0.056,0.056,54.505
09:17,141.420,141.420,141.420,141.420,852,141.590,141.440,141.438,141.415,141.412,141.358,0.053,0.055,54.505
09:18,141.450,141.450,141.450,141.450,280,141.590,141.442,141.431,141.430,141.417,141.365,0.052,0.055,56.313
09:19,141.440,141.440,141.440,141.440,592,141.590,141.430,141.424,141.438,141.421,141.371,0.050,0.054,55.521
09:20,141.470,141.470,141.440,141.440,1490,141.589,141.434,141.441,141.442,141.424,141.376,0.048,0.053,55.521
09:21,141.500,141.500,141.399,141.399,12933,141.581,141.430,141.436,141.441,141.420,141.378,0.042,0.051,52.001
09:22,141.500,141.500,141.410,141.500,2555,141.579,141.446,141.436,141.441,141.432,141.387,0.046,0.050,58.869
09:23,141.500,141.500,141.470,141.470,12604,141.575,141.450,141.442,141.438,141.438,141.393,0.045,0.049,56.305
