time,open,high,low,close,volume,VWAP,5SMA,8SMA,13SMA,12EMA,26EMA,MACD,MACDS,RSI
09:00,303.280,303.350,303.142,303.143,2829,302.486,303.305,303.339,303.385,303.317,303.190,0.126,0.185,48.722
09:01,303.260,303.300,303.250,303.250,1092,302.487,303.275,303.334,303.387,303.306,303.195,0.111,0.170,52.184
09:02,303.350,303.490,303.350,303.490,3132,302.494,303.293,303.339,303.389,303.335,303.217,0.118,0.160,58.899
09:03,303.450,303.450,303.450,303.450,507,302.495,303.323,303.339,303.386,303.352,303.234,0.118,0.152,57.450
09:04,303.450,303.450,303.450,303.450,669,302.496,303.357,303.345,303.374,303.367,303.250,0.117,0.145,57.450
09:05,303.199,303.310,303.199,303.210,1438,302.498,303.370,303.322,303.351,303.343,303.247,0.096,0.135,49.057
09:06,303.220,303.250,303.000,303.000,6156,302.505,303.320,303.284,303.329,303.290,303.229,0.062,0.120,43.121
09:07,303.150,303.150,303.010,303.010,2435,302.508,303.224,303.250,303.295,303.247,303.213,0.035,0.103,43.472
09:08,303.010,303.010,303.010,303.010,0,302.508,303.136,303.234,303.261,303.211,303.198,0.013,0.085,43.472
09:09,302.870,302.870,302.650,302.650,3436,302.509,302.976,303.159,303.203,303.124,303.157,-0.032,0.062,34.571
09:10,302.600,302.700,302.600,302.700,1804,302.510,302.874,303.060,303.149,303.059,303.123,-0.064,0.037,36.515
09:11,302.700,302.700,302.700,302.700,1907,302.510,302.814,302.966,303.103,303.004,303.092,-0.088,0.012,36.515
09:12,302.840,302.850,302.600,302.600,2578,302.511,302.732,302.860,303.051,302.942,303.055,-0.114,-0.013,34.160
09:13,302.600,302.600,302.500,302.500,1380,302.511,302.630,302.771,303.002,302.874,303.014,-0.140,-0.039,31.942
09:14,302.650,302.660,302.650,302.660,850,302.512,302.632,302.729,302.956,302.841,302.988,-0.147,-0.060,38.791
09:15,302.620,302.620,302.500,302.500,1755,302.512,302.592,302.665,302.880,302.788,302.952,-0.163,-0.081,34.998
09:16,302.500,302.500,302.500,302.500,884,302.512,302.552,302.601,302.807,302.744,302.918,-0.174,-0.100,34.998
09:17,302.500,302.500,302.500,302.500,0,302.512,302.532,302.582,302.734,302.707,302.887,-0.181,-0.116,34.998
09:18,302.500,302.500,302.500,302.500,0,302.512,302.532,302.558,302.679,302.675,302.859,-0.184,-0.130,34.998
09:19,302.610,302.840,302.610,302.840,886,302.512,302.568,302.575,302.667,302.700,302.857,-0.157,-0.135,49.196
09:20,302.830,302.830,302.410,302.410,2451,302.512,302.550,302.551,302.621,302.656,302.824,-0.169,-0.142,37.916
09:21,302.400,302.400,302.160,302.160,3599,302.510,302.482,302.509,302.555,302.579,302.775,-0.196,-0.153,33.156
09:22,302.150,302.255,302.090,302.090,2193,302.509,302.400,302.438,302.512,302.504,302.724,-0.220,-0.166,31.947
09:23,302.090,302.090,302.090,302.090,0,302.509,302.318,302.386,302.465,302.440,302.677,-0.237,-0.180,31.947
09:24,302.130,302.130,302.110,302.110,1557,302.508,302.172,302.338,302.420,302.390,302.635,-0.246,-0.193,32.760
09:25,302.200,302.360,302.200,302.360,1040,302.507,302.162,302.320,302.402,302.385,302.615,-0.230,-0.201,42.072
09:26,302.360,302.360,302.360,302.360,438,302.507,302.202,302.303,302.391,302.381,302.596,-0.215,-0.203,42.072
09:27,302.700,303.000,302.700,303.000,3771,302.510,302.384,302.323,302.417,302.476,302.626,-0.150,-0.193,58.950
