time,open,high,low,close,volume,VWAP,5SMA,8SMA,13SMA,12EMA,26EMA,MACD,MACDS,RSI
09:00,272.670,272.670,272.610,272.610,4458,272.237,272.688,272.727,272.799,272.746,272.739,0.007,0.055,42.442
09:01,272.500,272.540,272.480,272.510,3635,272.239,272.640,272.681,272.769,272.710,272.722,-0.012,0.041,38.267
09:02,272.550,272.610,272.510,272.600,4075,272.243,272.616,272.660,272.746,272.693,272.713,-0.020,0.029,43.640
09:03,272.500,272.550,272.500,272.510,4655,272.247,272.568,272.633,272.716,272.665,272.698,-0.033,0.017,39.900
09:04,272.500,272.696,272.500,272.520,1468,272.248,272.550,272.604,272.679,272.643,272.685,-0.042,0.005,40.510
09:05,272.510,272.550,272.490,272.490,4395,272.251,272.526,272.575,272.650,272.619,272.670,-0.051,-0.006,39.224
09:06,272.490,272.600,272.420,272.600,3093,272.253,272.544,272.556,272.628,272.616,272.665,-0.049,-0.015,45.995
09:07,272.400,272.500,272.230,272.230,5922,272.254,272.470,272.509,272.587,272.557,272.633,-0.076,-0.027,32.770
09:08,272.200,272.220,272.120,272.220,5739,272.253,272.412,272.460,272.548,272.505,272.602,-0.097,-0.041,32.498
09:09,272.230,272.310,272.230,272.310,2528,272.254,272.370,272.435,272.514,272.475,272.581,-0.106,-0.054,37.524
09:10,272.240,272.320,272.200,272.320,3273,272.254,272.336,272.400,272.483,272.451,272.561,-0.110,-0.065,38.075
09:11,272.300,272.500,272.300,272.500,2136,272.255,272.316,272.399,272.464,272.459,272.557,-0.098,-0.072,47.126
09:12,272.532,272.620,272.500,272.550,3251,272.257,272.380,272.402,272.459,272.473,272.556,-0.084,-0.074,49.340
09:13,272.468,272.468,272.468,272.468,1540,272.258,272.430,272.400,272.448,272.472,272.550,-0.078,-0.075,45.942
09:14,272.690,272.760,272.690,272.700,4536,272.263,272.508,272.412,272.463,272.507,272.561,-0.054,-0.071,55.319
09:15,272.780,272.780,272.780,272.780,1028,272.265,272.600,272.481,272.477,272.549,272.577,-0.028,-0.062,58.024
09:16,272.750,272.770,272.603,272.770,3110,272.268,272.654,272.550,272.497,272.583,272.591,-0.008,-0.051,57.555
09:17,272.780,272.950,272.780,272.950,2313,272.271,272.734,272.630,272.530,272.639,272.618,0.021,-0.037,63.303
