time,open,high,low,close,volume,VWAP,5SMA,8SMA,13SMA,12EMA,26EMA,MACD,MACDS,RSI
09:00,406.500,407.000,406.500,406.560,14747,405.382,406.378,406.296,406.386,406.440,406.755,-0.315,-0.383,44.501
09:01,406.700,407.000,406.660,406.680,14938,405.392,406.438,406.381,406.400,406.477,406.750,-0.273,-0.361,46.976
09:02,406.800,406.950,406.680,406.950,11377,405.400,406.578,406.477,406.409,406.550,406.765,-0.215,-0.332,52.145
09:03,406.900,407.000,406.870,407.000,16302,405.411,406.738,406.565,406.431,406.619,406.782,-0.163,-0.298,53.058
09:04,407.020,407.450,407.000,407.350,12657,405.422,406.908,406.686,406.496,406.731,406.824,-0.093,-0.257,58.959
09:05,407.430,407.440,406.790,406.790,36641,405.448,406.954,406.754,406.549,406.740,406.822,-0.081,-0.222,48.462
09:06,406.850,406.850,406.100,406.170,17293,405.455,406.852,406.750,406.562,406.653,406.773,-0.121,-0.202,39.976
09:07,406.200,406.250,405.350,405.350,26802,405.457,406.532,406.606,406.498,406.452,406.668,-0.216,-0.204,31.996
09:08,405.500,406.300,405.500,406.300,13318,405.460,406.392,406.574,406.498,406.429,406.641,-0.212,-0.206,45.556
09:09,406.390,406.450,405.900,406.340,18841,405.466,406.190,406.531,406.495,406.415,406.618,-0.203,-0.205,46.044
09:10,406.460,406.490,405.700,406.000,16194,405.471,406.032,406.413,406.476,406.351,406.573,-0.221,-0.208,42.553
09:11,405.900,405.900,405.600,405.700,9912,405.472,405.938,406.250,406.438,406.251,406.508,-0.257,-0.218,39.694
09:12,405.790,406.000,405.700,406.000,12729,405.474,406.068,406.081,406.399,406.212,406.470,-0.258,-0.226,43.763
09:13,405.900,406.000,405.700,406.000,8386,405.476,406.008,405.982,406.356,406.180,406.435,-0.256,-0.232,43.763
09:14,406.000,406.180,405.800,405.800,10329,405.477,405.900,405.936,406.288,406.121,406.388,-0.267,-0.239,41.593
09:15,405.750,405.830,405.350,405.500,21716,405.478,405.800,405.955,406.177,406.026,406.323,-0.297,-0.251,38.509
09:16,405.820,405.900,405.500,405.900,9335,405.479,405.840,405.905,406.092,406.006,406.291,-0.285,-0.257,44.425
09:17,405.700,405.990,405.700,405.800,3176,405.480,405.800,405.837,405.973,405.975,406.255,-0.280,-0.262,43.304
09:18,405.900,406.040,405.670,405.670,13182,405.481,405.734,405.796,405.887,405.928,406.212,-0.284,-0.266,41.825
09:19,405.600,405.600,405.400,405.400,13977,405.481,405.654,405.759,405.828,405.847,406.151,-0.305,-0.274,38.857
09:20,405.500,405.500,404.510,404.690,54706,405.469,405.492,405.595,405.777,405.669,406.043,-0.375,-0.294,32.355
09:21,404.630,405.000,404.630,405.000,18844,405.464,405.312,405.470,405.677,405.566,405.966,-0.400,-0.315,37.289
09:22,404.900,405.260,404.660,405.000,13565,405.462,405.152,405.370,405.574,405.479,405.894,-0.416,-0.335,37.289
09:23,404.900,405.190,404.750,405.000,10546,405.460,405.018,405.307,405.497,405.405,405.828,-0.423,-0.353,37.289
09:24,404.800,404.990,404.720,404.750,8252,405.458,404.888,405.164,405.424,405.304,405.748,-0.444,-0.371,34.737
09:25,404.780,404.780,404.210,404.730,33150,405.446,404.896,405.030,405.326,405.216,405.673,-0.457,-0.388,34.533
09:26,404.600,404.810,404.500,404.700,13393,405.442,404.836,404.909,405.226,405.137,405.601,-0.464,-0.403,34.209
09:27,404.810,405.780,404.800,405.780,23457,405.442,404.992,404.956,405.225,405.236,405.614,-0.378,-0.398,51.755
09:28,405.410,406.080,405.100,405.790,15574,405.444,405.150,405.094,405.247,405.321,405.627,-0.306,-0.380,51.883
09:29,405.850,406.200,405.810,405.950,15258,405.447,405.390,405.212,405.251,405.418,405.651,-0.233,-0.351,53.986
09:30,406.110,406.880,404.500,406.065,2106281,405.815,405.657,405.346,405.271,405.517,405.682,-0.164,-0.313,55.492
09:31,405.980,406.220,402.860,403.380,734872,405.385,405.393,405.143,405.095,405.188,405.511,-0.323,-0.315,30.444
09:32,403.360,405.100,402.670,404.620,601325,405.166,405.161,405.127,405.035,405.101,405.445,-0.344,-0.321,43.197
09:33,404.730,405.920,404.160,405.840,535005,405.185,405.171,405.266,405.123,405.215,405.474,-0.260,-0.309,52.436
09:34,405.800,407.000,405.140,405.620,558424,405.275,405.105,405.381,405.171,405.277,405.485,-0.208,-0.289,50.831
09:35,405.692,406.300,403.000,404.360,597939,405.191,404.764,405.203,405.122,405.136,405.402,-0.266,-0.284,42.752
09:36,404.210,406.700,403.958,406.335,463434,405.230,405.355,405.271,405.225,405.320,405.471,-0.151,-0.257,54.860
09:37,406.360,409.000,406.111,407.700,775510,405.519,405.971,405.490,405.452,405.686,405.636,0.050,-0.196,60.997
09:38,407.700,408.840,407.700,408.140,474763,405.707,406.431,405.749,405.714,406.064,405.822,0.242,-0.108,62.755
09:39,408.040,409.300,407.718,409.150,535570,405.926,407.137,406.471,406.056,406.539,406.068,0.471,0.008,66.489
09:40,409.122,411.370,409.020,410.905,879242,406.405,408.446,407.256,406.450,407.210,406.426,0.784,0.163,71.783
09:41,410.940,412.230,410.550,411.425,714668,406.803,409.464,407.954,406.884,407.859,406.797,1.062,0.343,73.137
09:42,411.394,413.400,411.060,412.730,673187,407.193,410.470,408.843,407.405,408.608,407.236,1.372,0.549,76.221
09:43,412.630,412.850,412.000,412.761,533681,407.473,411.394,409.893,407.920,409.247,407.645,1.602,0.759,76.290
09:44,412.850,415.500,412.773,414.400,724884,407.922,412.444,410.901,408.768,410.040,408.146,1.894,0.986,79.679
09:45,414.386,414.960,413.120,413.870,589068,408.232,413.037,411.673,409.480,410.629,408.570,2.059,1.201,75.902
09:46,413.980,414.070,411.290,411.450,695346,408.463,413.042,412.086,409.911,410.755,408.783,1.972,1.355,61.553
09:47,411.530,414.000,411.270,413.560,450601,408.622,413.208,412.638,410.522,411.187,409.137,2.050,1.494,67.349
09:48,413.660,414.320,413.300,413.870,447930,408.801,413.430,413.008,411.254,411.600,409.488,2.112,1.618,68.109
09:49,413.837,416.790,413.764,416.013,932919,409.248,413.753,413.582,411.998,412.279,409.971,2.308,1.756,72.822
09:50,416.080,418.910,415.690,418.880,765617,409.692,414.755,414.350,412.858,413.294,410.631,2.663,1.937,77.594
09:51,418.770,419.380,416.194,417.190,770715,410.083,415.903,414.904,413.554,413.894,411.117,2.777,2.105,69.814
09:52,417.365,418.300,415.600,416.560,479867,410.284,416.503,415.174,414.124,414.304,411.520,2.784,2.241,67.112
09:53,416.530,416.530,413.250,413.270,625757,410.437,416.383,415.099,414.306,414.145,411.650,2.495,2.292,55.117
09:54,413.290,413.870,412.530,412.890,550189,410.522,415.758,415.279,414.419,413.952,411.741,2.210,2.275,53.918
09:55,412.890,412.970,410.310,410.660,644900,410.551,414.114,414.917,414.259,413.445,411.661,1.784,2.177,47.403
09:56,410.650,413.850,410.630,413.674,544759,410.615,413.411,414.892,414.330,413.480,411.810,1.670,2.076,55.270
09:57,413.530,414.000,410.010,410.180,601973,410.639,412.135,414.163,414.005,412.973,411.690,1.283,1.917,46.574
09:58,410.160,410.760,409.060,410.375,705420,410.619,411.556,413.100,413.736,412.573,411.592,0.981,1.730,47.074
09:59,410.321,411.400,409.200,409.430,415434,410.606,410.864,412.130,413.581,412.090,411.432,0.657,1.515,44.880
10:00,409.300,410.500,408.510,408.560,411040,410.578,410.444,411.130,413.196,411.547,411.219,0.327,1.278,42.897
10:01,408.595,409.490,407.500,407.975,427226,410.532,409.304,410.468,412.743,410.997,410.979,0.018,1.026,41.567
10:02,407.898,407.980,406.620,407.610,427509,410.470,408.790,409.808,412.096,410.476,410.729,-0.253,0.770,40.719
10:03,407.720,407.720,406.480,407.220,361524,410.414,408.159,409.378,411.200,409.975,410.469,-0.494,0.517,39.785
10:04,407.220,409.120,406.790,408.980,418816,410.374,408.069,408.791,410.568,409.822,410.359,-0.537,0.306,45.825
10:05,409.009,409.870,408.270,409.400,367130,410.355,408.237,408.694,410.017,409.757,410.288,-0.531,0.139,47.186
10:06,409.330,410.780,408.930,410.410,418332,410.349,408.724,408.698,409.797,409.857,410.297,-0.440,0.023,50.413
10:07,410.365,410.980,409.270,410.390,415500,410.347,409.280,408.818,409.605,409.939,410.304,-0.365,-0.054,50.348
10:08,410.390,410.390,408.380,408.510,295039,410.331,409.538,408.812,409.440,409.720,410.171,-0.452,-0.134,44.487
10:09,408.522,409.211,407.580,408.550,305240,410.307,409.452,408.884,409.045,409.540,410.051,-0.511,-0.209,44.635
10:10,408.725,409.590,407.710,408.860,342610,410.285,409.344,409.040,408.944,409.435,409.963,-0.528,-0.273,45.837
10:11,409.090,409.800,407.870,409.450,263239,410.271,409.152,409.319,408.873,409.437,409.925,-0.487,-0.316,48.146
10:12,409.193,409.560,408.280,408.901,236977,410.258,408.854,409.309,408.832,409.355,409.849,-0.494,-0.352,46.174
10:13,408.732,409.490,408.350,409.050,224106,410.247,408.962,409.265,408.870,409.308,409.790,-0.482,-0.378,46.811
10:14,409.158,409.550,408.610,408.870,243615,410.235,409.026,409.073,408.939,409.241,409.722,-0.481,-0.398,46.101
10:15,408.861,411.000,407.751,408.727,573170,410.211,409.000,408.865,409.025,409.162,409.648,-0.486,-0.416,45.511
10:16,408.726,409.940,408.130,409.370,220727,410.202,408.984,408.972,409.190,409.194,409.627,-0.434,-0.420,48.691
10:17,409.290,410.700,409.200,410.700,197696,410.202,409.343,409.241,409.322,409.425,409.707,-0.281,-0.392,54.595
10:18,410.495,412.130,410.310,411.980,444077,410.223,409.929,409.631,409.521,409.818,409.875,-0.057,-0.325,59.433
10:19,411.940,412.190,410.490,412.090,271184,410.237,410.573,409.961,409.650,410.168,410.039,0.129,-0.234,59.829
10:20,412.075,414.850,411.980,413.130,442356,410.287,411.454,410.490,409.861,410.624,410.268,0.355,-0.116,63.462
10:21,413.120,413.359,412.500,412.630,301056,410.314,412.106,410.937,410.178,410.932,410.443,0.489,0.005,60.623
10:22,412.630,412.630,411.230,411.630,268360,410.329,412.292,411.282,410.414,411.040,410.531,0.509,0.106,55.296
10:23,411.680,411.810,410.020,410.550,315754,410.334,412.006,411.510,410.545,410.964,410.533,0.432,0.171,50.169
10:24,410.565,410.730,409.600,409.900,247813,410.332,411.568,411.576,410.579,410.801,410.486,0.315,0.200,47.325
10:25,409.950,410.950,409.950,410.435,217659,410.332,411.029,411.543,410.697,410.744,410.482,0.262,0.212,49.845
10:26,410.435,410.570,409.650,410.180,211096,410.331,410.539,411.318,410.784,410.658,410.460,0.198,0.209,48.651
10:27,410.250,410.530,408.210,408.520,292322,410.319,409.917,410.872,410.757,410.329,410.316,0.013,0.170,41.651
10:28,408.597,409.120,408.250,408.486,212240,410.306,409.504,410.291,410.739,410.045,410.180,-0.135,0.109,41.521
10:29,408.560,408.700,407.950,408.233,312363,410.285,409.171,409.742,410.651,409.766,410.036,-0.270,0.033,40.494
10:30,408.280,408.555,407.800,408.050,248189,410.268,408.694,409.294,410.447,409.502,409.889,-0.387,-0.051,39.727
10:31,408.220,409.140,407.820,408.730,280704,410.252,408.404,409.067,410.197,409.384,409.803,-0.420,-0.124,43.964
10:32,408.700,410.780,408.319,410.570,285322,410.248,408.814,409.151,410.080,409.566,409.860,-0.294,-0.158,53.491
10:33,410.800,410.830,409.000,409.350,235668,410.244,408.987,409.015,409.790,409.533,409.822,-0.289,-0.185,47.700
10:34,409.350,410.400,409.290,409.480,195466,410.241,409.236,408.927,409.547,409.525,409.797,-0.272,-0.202,48.342
10:35,409.450,410.100,409.280,409.986,175632,410.239,409.623,409.111,409.421,409.596,409.811,-0.215,-0.205,50.871
10:36,409.908,410.000,408.520,408.650,178722,410.232,409.607,409.131,409.275,409.450,409.725,-0.275,-0.219,44.658
10:37,408.610,408.690,407.850,408.110,248292,410.216,409.115,409.116,409.137,409.244,409.605,-0.361,-0.247,42.404
10:38,408.230,408.670,407.360,407.800,321090,410.193,408.805,409.085,408.934,409.022,409.472,-0.450,-0.288,41.121
