time,open,high,low,close,volume,VWAP,5SMA,8SMA,13SMA,12EMA,26EMA,MACD,MACDS,RSI
09:00,94.240,94.240,94.240,94.240,249,94.282,94.176,94.176,94.162,94.186,94.216,-0.030,-0.034,52.984
09:01,94.240,94.240,94.240,94.240,0,94.282,94.192,94.180,94.170,94.195,94.218,-0.023,-0.032,52.984
09:02,94.240,94.240,94.240,94.240,0,94.282,94.208,94.190,94.178,94.202,94.219,-0.018,-0.029,52.984
09:03,94.170,94.170,94.170,94.170,144,94.282,94.210,94.191,94.180,94.197,94.216,-0.019,-0.027,39.238
09:04,94.170,94.170,94.170,94.170,0,94.282,94.212,94.192,94.182,94.193,94.212,-0.020,-0.026,39.238
09:05,94.170,94.170,94.170,94.170,0,94.282,94.198,94.194,94.185,94.189,94.209,-0.020,-0.025,39.238
09:06,94.170,94.170,94.170,94.170,0,94.282,94.184,94.195,94.182,94.186,94.206,-0.020,-0.024,39.238
09:07,94.000,94.000,94.000,94.000,106,94.281,94.136,94.175,94.169,94.158,94.191,-0.034,-0.026,21.239
09:08,94.020,94.020,94.020,94.020,210,94.280,94.106,94.147,94.158,94.136,94.178,-0.042,-0.029,25.565
09:09,94.020,94.020,94.020,94.020,0,94.280,94.076,94.120,94.148,94.118,94.167,-0.048,-0.033,25.565
09:10,94.020,94.020,94.020,94.020,0,94.280,94.046,94.093,94.137,94.103,94.156,-0.053,-0.037,25.565
09:11,94.020,94.020,94.020,94.020,0,94.280,94.016,94.074,94.126,94.090,94.146,-0.055,-0.040,25.565
09:12,93.840,93.920,93.840,93.910,1042,94.270,93.998,94.041,94.107,94.063,94.128,-0.066,-0.045,18.179
09:13,93.850,93.850,93.850,93.850,526,94.265,93.964,94.001,94.077,94.030,94.108,-0.078,-0.052,15.541
09:14,93.850,93.850,93.850,93.850,0,94.265,93.930,93.961,94.047,94.002,94.089,-0.086,-0.059,15.541
09:15,93.870,93.870,93.870,93.870,100,94.264,93.900,93.945,94.018,93.982,94.072,-0.090,-0.065,20.027
09:16,93.820,93.820,93.810,93.810,839,94.255,93.858,93.919,93.991,93.955,94.053,-0.097,-0.072,17.094
09:17,93.810,93.810,93.810,93.810,0,94.255,93.838,93.892,93.963,93.933,94.035,-0.102,-0.078,17.094
09:18,93.820,93.820,93.820,93.820,100,94.254,93.832,93.867,93.936,93.916,94.019,-0.103,-0.083,19.376
09:19,93.820,93.820,93.820,93.820,0,94.254,93.826,93.843,93.909,93.901,94.004,-0.103,-0.087,19.376
09:20,93.780,93.780,93.780,93.780,100,94.253,93.808,93.826,93.892,93.882,93.988,-0.105,-0.091,17.182
09:21,93.780,93.780,93.780,93.780,0,94.253,93.802,93.817,93.874,93.867,93.972,-0.106,-0.094,17.182
09:22,93.780,93.780,93.780,93.780,0,94.253,93.796,93.809,93.855,93.853,93.958,-0.105,-0.096,17.182
09:23,93.780,93.780,93.780,93.780,0,94.253,93.788,93.797,93.837,93.842,93.945,-0.103,-0.097,17.182
09:24,93.780,93.780,93.780,93.780,0,94.253,93.780,93.794,93.818,93.832,93.933,-0.100,-0.098,17.182
09:25,93.780,93.780,93.780,93.780,0,94.253,93.780,93.790,93.808,93.824,93.921,-0.097,-0.098,17.182
09:26,94.130,94.130,94.130,94.130,846,94.251,93.850,93.829,93.830,93.871,93.937,-0.065,-0.091,67.469
09:27,94.130,94.130,94.130,94.130,0,94.251,93.920,93.867,93.852,93.911,93.951,-0.040,-0.081,67.469
09:28,94.130,94.130,94.130,94.130,0,94.251,93.990,93.911,93.872,93.945,93.964,-0.020,-0.069,67.469
09:29,94.100,94.180,94.100,94.170,4749,94.241,94.068,93.960,93.899,93.979,93.980,-0.000,-0.055,70.064
09:30,94.190,94.430,93.990,94.230,82323,94.217,94.158,94.016,93.932,94.018,93.998,0.020,-0.040,73.481
09:31,94.280,94.500,94.200,94.470,26048,94.258,94.226,94.103,93.982,94.088,94.033,0.054,-0.021,82.222
