time,open,high,low,close,volume,VWAP,5SMA,8SMA,13SMA,12EMA,26EMA,MACD,MACDS,RSI
09:00,162.000,162.000,162.000,162.000,0,162.770,162.020,162.031,162.038,162.057,162.206,-0.149,-0.170,14.144
09:01,162.030,162.030,162.030,162.030,105,162.767,162.016,162.029,162.037,162.053,162.193,-0.140,-0.164,21.951
09:02,162.030,162.030,162.030,162.030,0,162.767,162.012,162.026,162.035,162.049,162.181,-0.131,-0.157,21.951
09:03,162.030,162.030,162.030,162.030,0,162.767,162.018,162.024,162.034,162.046,162.169,-0.123,-0.151,21.951
09:04,162.030,162.030,162.030,162.030,0,162.767,162.024,162.021,162.032,162.044,162.159,-0.115,-0.143,21.951
09:05,162.030,162.030,162.030,162.030,0,162.767,162.030,162.019,162.031,162.042,162.149,-0.108,-0.136,21.951
09:06,162.190,162.190,162.190,162.190,752,162.751,162.062,162.042,162.042,162.065,162.152,-0.088,-0.127,54.156
09:07,162.190,162.190,162.190,162.190,0,162.751,162.094,162.066,162.052,162.084,162.155,-0.071,-0.116,54.156
09:08,162.190,162.190,162.190,162.190,0,162.751,162.126,162.090,162.063,162.100,162.158,-0.058,-0.104,54.156
09:09,162.190,162.190,162.190,162.190,0,162.751,162.158,162.110,162.074,162.114,162.160,-0.046,-0.092,54.156
09:10,162.190,162.190,162.190,162.190,0,162.751,162.190,162.130,162.085,162.126,162.162,-0.037,-0.081,54.156
09:11,162.190,162.190,162.190,162.190,0,162.751,162.190,162.150,162.099,162.136,162.164,-0.029,-0.071,54.156
09:12,162.000,162.000,161.850,161.850,1618,162.704,162.122,162.127,162.088,162.092,162.141,-0.050,-0.067,22.872
09:13,162.050,162.050,162.050,162.050,559,162.691,162.094,162.130,162.092,162.085,162.134,-0.049,-0.063,43.535
09:14,162.170,162.170,162.170,162.170,550,162.682,162.090,162.128,162.102,162.098,162.137,-0.039,-0.058,51.867
09:15,162.170,162.170,162.170,162.170,0,162.682,162.086,162.125,162.113,162.109,162.139,-0.030,-0.053,51.867
09:16,162.170,162.170,162.170,162.170,0,162.682,162.082,162.123,162.124,162.119,162.142,-0.023,-0.047,51.867
09:17,162.010,162.010,162.010,162.010,653,162.668,162.114,162.100,162.122,162.102,162.132,-0.030,-0.043,41.636
09:18,161.880,161.880,161.880,161.880,870,162.646,162.080,162.061,162.111,162.068,162.113,-0.046,-0.044,35.507
09:19,161.840,161.840,161.750,161.750,759,162.626,161.996,162.006,162.077,162.019,162.086,-0.068,-0.049,30.649
09:20,161.650,161.800,161.590,161.800,3906,162.529,161.922,162.000,162.047,161.985,162.065,-0.080,-0.055,34.368
09:21,161.780,161.950,161.780,161.950,302,162.524,161.878,161.988,162.028,161.980,162.057,-0.077,-0.059,44.061
09:22,161.820,161.850,161.800,161.800,1666,162.493,161.836,161.941,161.998,161.952,162.038,-0.086,-0.065,38.015
09:23,161.780,161.780,161.550,161.690,2702,162.439,161.798,161.881,161.960,161.912,162.012,-0.100,-0.072,34.298
09:24,161.810,161.810,161.610,161.610,2142,162.401,161.770,161.811,161.915,161.865,161.982,-0.117,-0.081,31.858
09:25,161.610,161.850,161.510,161.850,5021,162.332,161.780,161.791,161.915,161.863,161.972,-0.109,-0.086,44.592
09:26,161.560,162.120,161.500,161.940,6640,162.274,161.778,161.799,161.907,161.875,161.970,-0.095,-0.088,48.480
09:27,162.090,162.090,161.740,161.990,5857,162.241,161.816,161.829,161.893,161.893,161.971,-0.079,-0.086,50.556
09:28,162.010,162.010,161.700,161.740,5246,162.207,161.826,161.821,161.860,161.869,161.954,-0.085,-0.086,41.543
09:29,161.730,161.970,161.260,161.590,18374,162.076,161.822,161.776,161.815,161.826,161.927,-0.101,-0.089,37.252
09:30,161.690,161.800,161.110,161.540,870248,161.483,161.760,161.744,161.779,161.782,161.899,-0.116,-0.095,35.920
09:31,161.630,161.760,161.500,161.578,93501,161.496,161.688,161.730,161.756,161.751,161.875,-0.124,-0.100,37.742
09:32,161.550,161.550,161.010,161.210,83709,161.477,161.532,161.680,161.714,161.668,161.826,-0.158,-0.112,29.110
09:33,161.210,161.270,160.670,160.980,85501,161.439,161.380,161.571,161.651,161.562,161.763,-0.201,-0.130,25.230
09:34,161.040,161.150,160.560,160.815,86010,161.397,161.225,161.430,161.564,161.447,161.693,-0.246,-0.153,22.870
09:35,160.820,161.450,160.800,161.425,73977,161.387,161.202,161.360,161.535,161.443,161.673,-0.229,-0.168,43.774
09:36,161.412,161.490,161.240,161.380,33608,161.386,161.162,161.315,161.511,161.434,161.651,-0.217,-0.178,42.857
09:37,161.430,161.490,161.270,161.300,54343,161.385,161.180,161.278,161.488,161.413,161.625,-0.212,-0.185,41.194
09:38,161.298,161.298,161.090,161.200,30606,161.381,161.224,161.236,161.438,161.380,161.594,-0.213,-0.191,39.148
09:39,161.240,161.240,160.880,160.935,45322,161.370,161.248,161.156,161.360,161.312,161.545,-0.233,-0.199,34.289
09:40,160.950,161.220,160.950,161.220,26668,161.365,161.207,161.157,161.301,161.298,161.521,-0.223,-0.204,42.548
09:41,161.240,161.260,161.110,161.195,42526,161.360,161.170,161.184,161.259,161.282,161.497,-0.215,-0.206,42.049
09:42,161.180,161.295,161.120,161.210,22379,161.358,161.152,161.233,161.230,161.271,161.475,-0.205,-0.206,42.485
09:43,161.190,161.490,161.190,161.460,18882,161.359,161.204,161.238,161.224,161.300,161.474,-0.174,-0.200,49.329
09:44,161.445,161.490,161.370,161.400,17918,161.359,161.297,161.240,161.210,161.315,161.469,-0.153,-0.190,47.857
09:45,161.400,161.680,161.360,161.610,50829,161.365,161.375,161.279,161.241,161.361,161.479,-0.119,-0.176,53.128
09:46,161.610,161.610,161.190,161.300,33621,161.365,161.396,161.291,161.265,161.351,161.466,-0.115,-0.164,45.772
09:47,161.340,161.350,160.550,160.950,61145,161.351,161.344,161.293,161.276,161.290,161.428,-0.138,-0.159,39.175
09:48,160.907,160.930,160.460,160.820,75422,161.325,161.216,161.243,161.229,161.217,161.383,-0.165,-0.160,37.042
09:49,160.840,160.850,160.620,160.630,36430,161.313,161.062,161.172,161.172,161.127,161.327,-0.200,-0.168,34.116
09:50,160.690,160.780,160.450,160.680,44020,161.297,160.876,161.106,161.124,161.058,161.279,-0.221,-0.179,35.558
09:51,160.735,160.900,160.720,160.885,27420,161.290,160.793,161.034,161.100,161.032,161.250,-0.218,-0.187,41.240
09:52,160.875,160.900,160.640,160.830,28433,161.283,160.769,160.963,161.092,161.001,161.219,-0.218,-0.193,40.215
09:53,160.790,160.790,160.620,160.720,24294,161.276,160.749,160.852,161.053,160.957,161.182,-0.224,-0.199,38.173
09:54,160.720,160.870,160.680,160.860,17733,161.272,160.795,160.797,161.027,160.942,161.158,-0.216,-0.202,42.197
09:55,160.840,160.840,160.650,160.670,19873,161.266,160.793,160.762,160.986,160.900,161.122,-0.221,-0.206,38.532
09:56,160.665,160.750,160.600,160.730,22511,161.260,160.762,160.751,160.930,160.874,161.093,-0.219,-0.209,40.295
09:57,160.710,160.710,160.410,160.420,16587,161.254,160.680,160.724,160.854,160.804,161.043,-0.239,-0.215,34.748
09:58,160.450,160.540,160.260,160.360,20567,161.245,160.608,160.684,160.758,160.736,160.992,-0.256,-0.223,33.779
09:59,160.380,160.400,160.140,160.207,24047,161.234,160.477,160.600,160.674,160.655,160.934,-0.280,-0.234,31.373
10:00,160.250,160.350,160.190,160.290,36992,161.217,160.401,160.532,160.623,160.599,160.886,-0.288,-0.245,34.118
10:01,160.280,160.290,159.940,159.940,49670,161.190,160.243,160.435,160.556,160.497,160.816,-0.319,-0.260,28.884
10:02,159.955,160.140,159.880,160.130,24993,161.177,160.185,160.343,160.517,160.441,160.766,-0.325,-0.273,34.737
10:03,160.160,160.250,159.940,159.980,18693,161.168,160.109,160.257,160.463,160.370,160.707,-0.338,-0.286,32.465
10:04,160.000,160.000,159.920,159.990,14948,161.160,160.066,160.165,160.394,160.311,160.654,-0.343,-0.297,32.778
10:05,159.990,160.235,159.940,160.150,24017,161.149,160.038,160.131,160.342,160.287,160.617,-0.330,-0.304,37.790
10:06,160.160,160.220,160.020,160.210,14966,161.142,160.092,160.112,160.303,160.275,160.587,-0.312,-0.305,39.608
10:07,160.210,160.360,160.171,160.290,18435,161.135,160.124,160.122,160.259,160.277,160.565,-0.288,-0.302,42.039
10:08,160.320,160.420,160.270,160.280,16138,161.130,160.184,160.121,160.229,160.278,160.544,-0.266,-0.295,41.812
10:09,160.260,160.327,160.210,160.240,16371,161.123,160.234,160.159,160.191,160.272,160.521,-0.249,-0.286,40.864
10:10,160.260,160.380,160.230,160.380,20032,161.117,160.280,160.190,160.188,160.288,160.511,-0.222,-0.273,45.523
10:11,160.380,160.610,160.330,160.589,28193,161.109,160.356,160.266,160.206,160.335,160.516,-0.182,-0.255,51.649
10:12,160.600,160.620,160.530,160.590,17143,161.106,160.416,160.341,160.235,160.374,160.522,-0.148,-0.233,51.677
10:13,160.580,160.660,160.500,160.510,16928,161.102,160.462,160.386,160.252,160.395,160.521,-0.126,-0.212,49.221
10:14,160.515,160.515,160.320,160.385,24919,161.095,160.491,160.408,160.286,160.393,160.511,-0.118,-0.193,45.577
10:15,160.390,160.390,160.170,160.190,16555,161.089,160.453,160.396,160.291,160.362,160.487,-0.125,-0.179,40.535
10:16,160.250,160.430,160.180,160.371,22835,161.082,160.409,160.407,160.321,160.363,160.479,-0.115,-0.167,46.456
10:17,160.351,160.445,160.230,160.240,16958,161.077,160.339,160.407,160.340,160.344,160.461,-0.116,-0.157,43.108
10:18,160.250,160.280,160.100,160.170,38072,161.063,160.271,160.381,160.342,160.318,160.439,-0.122,-0.150,41.395
10:19,160.190,160.350,160.140,160.330,30876,161.054,160.260,160.348,160.351,160.320,160.431,-0.112,-0.142,46.624
10:20,160.330,160.540,160.310,160.540,28196,161.047,160.330,160.342,160.370,160.353,160.439,-0.086,-0.131,52.601
10:21,160.540,160.600,160.490,160.530,16496,161.044,160.362,160.344,160.390,160.381,160.446,-0.065,-0.118,52.300
10:22,160.550,160.583,160.420,160.583,23343,161.039,160.431,160.369,160.416,160.412,160.456,-0.044,-0.103,53.819
10:23,160.600,160.600,160.451,160.492,9935,161.037,160.495,160.407,160.425,160.424,160.459,-0.035,-0.089,50.831
10:24,160.495,160.560,160.440,160.440,12510,161.035,160.517,160.416,160.413,160.427,160.457,-0.031,-0.078,49.170
10:25,160.430,160.430,160.270,160.360,16218,161.031,160.481,160.431,160.395,160.416,160.450,-0.034,-0.069,46.636
10:26,160.380,160.500,160.356,160.410,16267,161.027,160.457,160.461,160.388,160.415,160.447,-0.032,-0.062,48.425
10:27,160.435,160.487,160.350,160.370,16143,161.023,160.414,160.466,160.387,160.408,160.442,-0.033,-0.056,47.066
10:28,160.380,160.400,160.350,160.350,11015,161.020,160.386,160.442,160.399,160.399,160.435,-0.035,-0.052,46.365
10:29,160.360,160.550,160.360,160.540,29690,161.015,160.406,160.443,160.412,160.421,160.443,-0.022,-0.046,53.456
10:30,160.530,160.540,160.310,160.310,29622,161.008,160.396,160.409,160.417,160.404,160.433,-0.029,-0.042,45.597
10:31,160.300,160.370,160.250,160.273,18322,161.003,160.369,160.382,160.425,160.384,160.421,-0.037,-0.041,44.464
10:32,160.270,160.355,160.190,160.340,14489,161.000,160.363,160.369,160.426,160.377,160.415,-0.038,-0.041,47.030
10:33,160.321,160.370,160.255,160.370,15010,160.996,160.367,160.370,160.413,160.376,160.412,-0.036,-0.040,48.184
10:34,160.380,160.460,160.300,160.360,16533,160.992,160.331,160.364,160.400,160.374,160.408,-0.034,-0.039,47.810
10:35,160.350,160.440,160.310,160.310,14449,160.989,160.331,160.357,160.379,160.364,160.401,-0.037,-0.038,45.892
10:36,160.300,160.340,160.195,160.300,16788,160.985,160.336,160.350,160.364,160.354,160.393,-0.039,-0.038,45.499
10:37,160.300,160.330,160.260,160.270,13448,160.982,160.322,160.317,160.351,160.341,160.384,-0.043,-0.039,44.274
10:38,160.270,160.275,160.123,160.200,14052,160.978,160.288,160.303,160.339,160.319,160.370,-0.051,-0.042,41.467
10:39,160.200,160.400,160.200,160.360,17309,160.974,160.288,160.314,160.335,160.326,160.370,-0.044,-0.042,49.367
10:40,160.340,160.340,160.220,160.290,11755,160.971,160.284,160.308,160.329,160.320,160.364,-0.044,-0.042,46.416
10:41,160.280,160.390,160.240,160.390,7852,160.969,160.302,160.310,160.332,160.331,160.366,-0.035,-0.041,50.930
10:42,160.400,160.450,160.370,160.440,10692,160.967,160.336,160.320,160.324,160.348,160.371,-0.023,-0.037,53.059
10:43,160.430,160.580,160.340,160.570,28707,160.963,160.410,160.352,160.344,160.382,160.386,-0.004,-0.031,58.144
10:44,160.568,160.580,160.502,160.570,11467,160.961,160.452,160.386,160.367,160.411,160.400,0.011,-0.022,58.144
10:45,160.540,160.630,160.420,160.630,27243,160.958,160.520,160.431,160.389,160.445,160.417,0.028,-0.012,60.438
10:46,160.630,160.760,160.630,160.760,9131,160.957,160.594,160.501,160.419,160.493,160.442,0.051,0.000,64.924
10:47,160.775,161.040,160.760,161.040,28696,160.957,160.714,160.586,160.472,160.577,160.486,0.091,0.019,72.228
10:48,161.040,161.150,160.990,161.050,14762,160.957,160.810,160.681,160.528,160.650,160.528,0.122,0.039,72.448
10:49,161.040,161.170,161.020,161.090,13824,160.958,160.914,160.769,160.589,160.718,160.570,0.148,0.061,73.360
10:50,161.080,161.080,160.941,160.964,20862,160.958,160.981,160.834,160.643,160.756,160.599,0.157,0.080,65.982
10:51,160.960,160.980,160.810,160.860,25614,160.958,161.001,160.871,160.693,160.772,160.618,0.153,0.095,60.524
10:52,160.870,160.933,160.870,160.910,14172,160.957,160.975,160.913,160.736,160.793,160.640,0.153,0.106,62.138
10:53,160.930,160.970,160.720,160.720,11624,160.957,160.909,160.924,160.769,160.782,160.646,0.136,0.112,53.232
10:54,160.720,160.850,160.693,160.830,9874,160.956,160.857,160.933,160.803,160.789,160.659,0.130,0.116,57.068
10:55,160.810,160.810,160.698,160.710,9520,160.956,160.806,160.892,160.823,160.777,160.663,0.114,0.115,52.052
10:56,160.720,160.860,160.720,160.830,8244,160.955,160.800,160.864,160.843,160.785,160.676,0.110,0.114,56.198
10:57,160.840,160.970,160.810,160.970,9118,160.955,160.812,160.849,160.874,160.814,160.697,0.116,0.115,60.491
10:58,160.980,161.100,160.980,161.100,11261,160.955,160.888,160.866,160.910,160.858,160.727,0.130,0.118,64.017
10:59,161.085,161.200,161.060,161.145,33456,160.957,160.951,160.902,160.940,160.902,160.758,0.144,0.123,65.176
11:00,161.140,161.140,160.971,160.990,11674,160.958,161.007,160.912,160.936,160.915,160.775,0.140,0.126,58.222
11:01,160.990,161.000,160.920,160.965,9602,160.958,161.034,160.942,160.930,160.923,160.789,0.134,0.128,57.162
