time,open,high,low,close,volume,VWAP,5SMA,8SMA,13SMA,12EMA,26EMA,MACD,MACDS,RSI
09:00,252.700,252.700,252.510,252.590,10340,252.666,252.726,252.808,252.780,252.755,252.860,-0.105,-0.119,42.622
09:01,252.580,252.600,252.220,252.220,28009,252.662,252.570,252.721,252.743,252.673,252.812,-0.140,-0.123,35.399
09:02,252.220,252.280,252.010,252.200,36933,252.654,252.488,252.629,252.711,252.600,252.767,-0.167,-0.132,35.053
09:03,252.200,252.296,252.000,252.000,26345,252.648,252.342,252.506,252.643,252.508,252.710,-0.203,-0.146,31.716
09:04,252.000,252.267,251.821,252.250,39755,252.640,252.252,252.412,252.603,252.468,252.676,-0.208,-0.159,39.473
09:05,252.270,252.370,252.000,252.150,16829,252.636,252.164,252.355,252.561,252.419,252.637,-0.218,-0.170,37.631
09:06,252.150,252.180,251.821,251.910,18841,252.631,252.102,252.252,252.483,252.341,252.583,-0.243,-0.185,33.582
09:07,251.910,252.000,251.810,251.870,17779,252.626,252.036,252.149,252.401,252.268,252.530,-0.262,-0.200,32.946
09:08,251.900,252.000,251.760,251.760,20896,252.620,251.988,252.045,252.307,252.190,252.473,-0.283,-0.217,31.196
09:09,251.800,251.800,251.600,251.700,36806,252.606,251.878,251.980,252.207,252.115,252.416,-0.301,-0.234,30.252
09:10,251.700,251.800,251.500,251.800,30106,252.596,251.808,251.930,252.144,252.066,252.370,-0.304,-0.248,33.845
09:11,251.695,251.800,251.695,251.700,11806,252.592,251.766,251.893,252.065,252.010,252.321,-0.311,-0.260,32.066
09:12,251.700,251.806,251.690,251.790,17476,252.586,251.750,251.835,251.995,251.976,252.281,-0.305,-0.269,35.352
09:13,251.607,251.790,251.607,251.660,11448,252.582,251.730,251.774,251.924,251.927,252.235,-0.308,-0.277,32.877
09:14,251.670,251.700,251.530,251.570,18543,252.576,251.704,251.731,251.874,251.872,252.186,-0.314,-0.284,31.241
09:15,251.590,251.670,251.590,251.670,16619,252.570,251.678,251.706,251.833,251.841,252.148,-0.307,-0.289,35.104
09:16,251.600,251.780,251.600,251.730,27087,252.561,251.684,251.702,251.812,251.824,252.117,-0.293,-0.290,37.375
09:17,251.710,251.710,251.500,251.600,27391,252.551,251.646,251.690,251.762,251.790,252.079,-0.289,-0.290,34.553
09:18,251.600,251.600,251.550,251.590,12963,252.547,251.632,251.664,251.719,251.759,252.042,-0.283,-0.288,34.339
09:19,251.600,251.600,251.250,251.320,33998,252.533,251.582,251.616,251.674,251.691,251.989,-0.298,-0.290,29.083
09:20,251.320,251.460,251.260,251.400,16459,252.526,251.528,251.567,251.638,251.647,251.945,-0.299,-0.292,32.385
09:21,251.460,251.580,251.260,251.580,20138,252.518,251.498,251.557,251.624,251.636,251.918,-0.282,-0.290,39.240
09:22,251.580,251.600,251.530,251.600,13436,252.514,251.498,251.561,251.616,251.631,251.895,-0.264,-0.285,39.968
09:23,251.570,251.600,251.550,251.590,13680,252.509,251.498,251.551,251.600,251.624,251.872,-0.248,-0.277,39.712
09:24,251.600,251.800,251.500,251.700,28395,252.501,251.574,251.547,251.600,251.636,251.859,-0.223,-0.266,43.968
09:25,251.580,251.600,251.020,251.100,37330,252.485,251.514,251.485,251.547,251.554,251.803,-0.249,-0.263,31.079
