time,open,high,low,close,volume,VWAP,5SMA,8SMA,13SMA,12EMA,26EMA,MACD,MACDS,RSI
09:00,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:01,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:02,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:03,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:04,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:05,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:06,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:07,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:08,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:09,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:10,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:11,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:12,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:13,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:14,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:15,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:16,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:17,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:18,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:19,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:20,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:21,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:22,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:23,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:24,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:25,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:26,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:27,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:28,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:29,480.100,480.100,480.100,480.100,0,480.100,480.100,480.100,480.100,480.100,480.100,-0.000,-0.000,NaN
09:30,481.950,482.330,479.500,481.080,46576,480.970,480.296,480.222,480.175,480.251,480.173,0.078,0.016,100.000
09:31,480.570,481.310,480.570,481.310,2004,480.974,480.538,480.374,480.268,480.414,480.257,0.157,0.044,100.000
