time,open,high,low,close,volume,VWAP,5SMA,8SMA,13SMA,12EMA,26EMA,MACD,MACDS,RSI
09:00,140.510,140.510,140.500,140.500,630,140.778,140.564,140.570,140.562,140.556,140.545,0.011,0.013,31.192
09:01,140.500,140.500,140.500,140.500,0,140.778,140.548,140.560,140.562,140.547,140.542,0.006,0.012,31.192
09:02,140.500,140.500,140.500,140.500,0,140.778,140.532,140.550,140.562,140.540,140.538,0.002,0.010,31.192
09:03,140.500,140.500,140.500,140.500,0,140.778,140.516,140.540,140.555,140.534,140.536,-0.002,0.007,31.192
09:04,140.500,140.500,140.500,140.500,0,140.778,140.500,140.530,140.549,140.529,140.533,-0.004,0.005,31.192
09:05,140.550,140.550,140.550,140.550,400,140.768,140.510,140.526,140.547,140.532,140.534,-0.002,0.004,56.792
09:06,140.550,140.550,140.550,140.550,0,140.768,140.520,140.523,140.545,140.535,140.535,-0.001,0.003,56.792
09:07,140.550,140.550,140.550,140.550,0,140.768,140.530,140.519,140.542,140.537,140.536,0.001,0.002,56.792
09:08,140.550,140.550,140.550,140.550,0,140.768,140.540,140.525,140.540,140.539,140.537,0.002,0.002,56.792
09:09,140.550,140.550,140.550,140.550,0,140.768,140.550,140.531,140.538,140.541,140.538,0.002,0.002,56.792
09:10,140.550,140.550,140.550,140.550,0,140.768,140.550,140.537,140.535,140.542,140.539,0.003,0.002,56.792
09:11,140.550,140.550,140.550,140.550,0,140.768,140.550,140.544,140.533,140.543,140.540,0.003,0.003,56.792
09:12,140.550,140.550,140.550,140.550,0,140.768,140.550,140.550,140.531,140.544,140.541,0.004,0.003,56.792
09:13,140.550,140.550,140.550,140.550,0,140.768,140.550,140.550,140.535,140.545,140.541,0.004,0.003,56.792
09:14,140.550,140.550,140.550,140.550,0,140.768,140.550,140.550,140.538,140.546,140.542,0.004,0.003,56.792
09:15,140.550,140.550,140.550,140.550,0,140.768,140.550,140.550,140.542,140.547,140.543,0.004,0.003,56.792
09:16,140.550,140.550,140.550,140.550,0,140.768,140.550,140.550,140.546,140.547,140.543,0.004,0.003,56.792
