time,open,high,low,close,volume,VWAP,5SMA,8SMA,13SMA,12EMA,26EMA,MACD,MACDS,RSI
09:00,113.030,113.030,113.030,113.030,225,113.175,113.060,113.144,113.223,113.137,113.173,-0.035,-0.007,36.945
09:01,113.030,113.030,112.860,112.860,1683,113.165,112.982,113.082,113.185,113.095,113.150,-0.055,-0.017,28.559
09:02,112.990,112.990,112.990,112.990,146,113.164,112.970,113.050,113.158,113.079,113.138,-0.059,-0.025,39.811
09:03,112.900,112.900,112.900,112.900,482,113.161,112.956,113.006,113.123,113.051,113.120,-0.069,-0.034,35.627
09:04,112.900,112.900,112.900,112.900,0,113.161,112.936,112.962,113.088,113.028,113.104,-0.076,-0.042,35.627
09:05,112.900,112.900,112.900,112.900,0,113.161,112.910,112.944,113.054,113.008,113.089,-0.081,-0.050,35.627
09:06,112.900,112.900,112.900,112.900,0,113.161,112.918,112.935,113.019,112.992,113.075,-0.083,-0.057,35.627
09:07,113.110,113.110,112.940,113.030,1887,113.156,112.926,112.939,113.002,112.997,113.071,-0.074,-0.060,46.542
09:08,113.050,113.050,113.050,113.050,380,113.155,112.956,112.941,112.987,113.006,113.070,-0.064,-0.061,48.002
09:09,113.000,113.000,113.000,113.000,516,113.153,112.976,112.959,112.968,113.005,113.065,-0.060,-0.061,44.713
09:10,113.060,113.070,113.060,113.070,725,113.152,113.010,112.969,112.969,113.015,113.065,-0.050,-0.059,49.890
09:11,113.070,113.070,113.070,113.070,0,113.152,113.044,112.990,112.977,113.023,113.065,-0.042,-0.055,49.890
09:12,113.070,113.070,113.070,113.070,0,113.152,113.052,113.011,112.982,113.030,113.066,-0.035,-0.051,49.890
09:13,113.070,113.070,113.070,113.070,0,113.152,113.056,113.032,112.985,113.037,113.066,-0.030,-0.047,49.890
09:14,113.070,113.070,113.070,113.070,0,113.152,113.070,113.054,113.002,113.042,113.066,-0.025,-0.043,49.890
09:15,113.070,113.070,113.070,113.070,0,113.152,113.070,113.059,113.008,113.046,113.067,-0.021,-0.038,49.890
09:16,113.070,113.070,113.070,113.070,0,113.152,113.070,113.061,113.021,113.050,113.067,-0.017,-0.034,49.890
09:17,113.070,113.070,113.070,113.070,0,113.152,113.070,113.070,113.034,113.053,113.067,-0.014,-0.030,49.890
09:18,113.070,113.070,113.070,113.070,0,113.152,113.070,113.070,113.047,113.055,113.067,-0.012,-0.026,49.890
09:19,113.070,113.070,113.070,113.070,0,113.152,113.070,113.070,113.060,113.058,113.068,-0.010,-0.023,49.890
09:20,113.190,113.260,113.190,113.200,3970,113.157,113.096,113.086,113.073,113.080,113.077,0.002,-0.018,63.286
09:21,113.200,113.200,113.200,113.200,0,113.157,113.122,113.102,113.085,113.098,113.086,0.012,-0.012,63.286
09:22,113.280,113.280,113.280,113.280,1517,113.160,113.164,113.129,113.106,113.126,113.101,0.025,-0.005,69.168
09:23,113.260,113.260,113.170,113.170,904,113.161,113.184,113.141,113.114,113.133,113.106,0.027,0.002,55.905
09:24,113.170,113.170,113.170,113.170,0,113.161,113.204,113.154,113.122,113.139,113.111,0.028,0.007,55.905
09:25,113.240,113.240,113.240,113.240,793,113.162,113.212,113.175,113.135,113.154,113.120,0.034,0.012,61.372
09:26,113.240,113.240,113.240,113.240,0,113.162,113.220,113.196,113.148,113.167,113.129,0.038,0.018,61.372
09:27,113.390,113.400,113.390,113.400,3184,113.175,113.244,113.237,113.173,113.203,113.149,0.054,0.025,70.927
09:28,113.400,113.400,113.200,113.200,1327,113.177,113.250,113.238,113.183,113.203,113.153,0.050,0.030,53.209
09:29,113.110,113.120,113.110,113.120,385,113.177,113.240,113.228,113.187,113.190,113.151,0.039,0.032,48.040
09:30,113.260,113.470,113.250,113.440,16655,113.387,113.280,113.248,113.215,113.228,113.172,0.056,0.037,63.370
09:31,113.360,113.810,113.360,113.540,271008,113.559,113.340,113.294,113.252,113.276,113.199,0.077,0.045,66.678
09:32,113.540,113.610,113.380,113.440,62635,113.545,113.348,113.328,113.280,113.302,113.217,0.084,0.053,60.767
09:33,113.470,113.570,113.430,113.495,41212,113.540,113.407,113.359,113.303,113.331,113.238,0.094,0.061,62.724
09:34,113.490,113.610,113.465,113.530,61496,113.539,113.489,113.396,113.328,113.362,113.259,0.103,0.069,63.957
09:35,113.500,113.520,113.210,113.240,75462,113.508,113.449,113.376,113.325,113.343,113.258,0.085,0.072,49.388
09:36,113.260,113.360,113.120,113.340,61048,113.484,113.409,113.393,113.338,113.343,113.264,0.079,0.074,53.332
09:37,113.330,113.460,113.240,113.440,78437,113.472,113.409,113.433,113.359,113.358,113.277,0.081,0.075,56.952
09:38,113.483,113.582,113.350,113.380,61752,113.469,113.386,113.426,113.370,113.361,113.285,0.076,0.075,54.236
09:39,113.400,113.585,113.380,113.560,40053,113.471,113.392,113.428,113.394,113.392,113.305,0.087,0.078,60.345
09:40,113.565,113.610,113.490,113.560,41589,113.475,113.456,113.443,113.407,113.418,113.324,0.094,0.081,60.345
09:41,113.570,113.650,113.520,113.639,55930,113.483,113.516,113.461,113.440,113.452,113.347,0.104,0.086,62.882
09:42,113.635,113.640,113.525,113.630,45442,113.489,113.554,113.474,113.480,113.479,113.368,0.111,0.091,62.369
09:43,113.630,113.890,113.630,113.852,74146,113.512,113.648,113.550,113.511,113.536,113.404,0.132,0.099,68.773
09:44,113.848,113.848,113.611,113.720,75568,113.527,113.680,113.598,113.525,113.565,113.427,0.137,0.107,62.024
09:45,113.710,113.870,113.661,113.830,50643,113.539,113.734,113.646,113.555,113.605,113.457,0.148,0.115,65.109
09:46,113.820,113.943,113.770,113.880,73240,113.559,113.782,113.709,113.585,113.648,113.489,0.159,0.124,66.443
09:47,113.895,113.980,113.860,113.870,47008,113.572,113.830,113.748,113.611,113.682,113.517,0.165,0.132,65.900
09:48,113.890,113.900,113.840,113.900,23928,113.578,113.840,113.790,113.662,113.715,113.545,0.170,0.140,66.777
09:49,113.895,114.040,113.890,113.930,119152,113.610,113.882,113.826,113.707,113.748,113.574,0.175,0.147,67.672
09:50,113.920,113.940,113.855,113.860,42532,113.619,113.888,113.855,113.739,113.766,113.595,0.171,0.152,63.381
09:51,113.870,113.910,113.800,113.810,40233,113.625,113.874,113.850,113.772,113.772,113.611,0.162,0.154,60.433
