time,open,high,low,close,volume,VWAP,5SMA,8SMA,13SMA,12EMA,26EMA,MACD,MACDS,RSI
09:00,111.800,111.800,111.800,111.800,362,111.579,111.790,111.766,111.761,111.755,111.705,0.050,0.046,58.375
09:01,111.800,111.800,111.800,111.800,0,111.579,111.793,111.779,111.762,111.762,111.712,0.050,0.047,58.375
09:02,111.800,111.800,111.800,111.800,0,111.579,111.795,111.793,111.763,111.768,111.719,0.049,0.047,58.375
09:03,111.790,111.800,111.790,111.800,693,111.582,111.797,111.794,111.764,111.773,111.725,0.048,0.047,58.375
09:04,111.790,111.790,111.790,111.790,535,111.585,111.798,111.794,111.771,111.776,111.730,0.046,0.047,57.157
09:05,111.800,111.800,111.800,111.800,1298,111.591,111.798,111.795,111.779,111.779,111.735,0.044,0.047,58.099
09:06,111.830,111.880,111.830,111.880,1598,111.600,111.814,111.807,111.792,111.795,111.746,0.049,0.047,64.770
09:07,111.880,111.880,111.880,111.880,0,111.600,111.830,111.819,111.807,111.808,111.756,0.052,0.048,64.770
09:08,111.760,111.760,111.760,111.760,612,111.602,111.822,111.814,111.805,111.801,111.756,0.045,0.047,50.721
09:09,111.820,111.820,111.720,111.720,1414,111.606,111.808,111.804,111.799,111.788,111.753,0.035,0.045,47.057
09:10,111.800,111.800,111.800,111.800,478,111.608,111.808,111.804,111.800,111.790,111.757,0.033,0.043,54.186
09:11,111.690,111.900,111.675,111.900,5055,111.627,111.812,111.816,111.809,111.807,111.767,0.040,0.042,61.215
09:12,111.900,111.900,111.860,111.860,1328,111.633,111.808,111.825,111.815,111.815,111.774,0.041,0.042,57.420
09:13,111.860,111.860,111.860,111.860,0,111.633,111.828,111.832,111.819,111.822,111.781,0.041,0.042,57.420
09:14,111.860,111.860,111.860,111.860,0,111.633,111.856,111.830,111.824,111.828,111.786,0.041,0.042,57.420
09:15,111.860,111.860,111.860,111.860,0,111.633,111.868,111.828,111.828,111.833,111.792,0.041,0.041,57.420
09:16,111.920,111.920,111.920,111.920,290,111.634,111.872,111.847,111.838,111.846,111.801,0.045,0.042,62.154
09:17,111.900,111.920,111.820,111.820,1239,111.639,111.864,111.860,111.840,111.842,111.803,0.039,0.042,51.814
09:18,111.820,111.932,111.530,111.932,379,111.640,111.878,111.876,111.850,111.856,111.812,0.044,0.042,59.867
09:19,111.932,111.932,111.932,111.932,0,111.640,111.893,111.881,111.854,111.868,111.821,0.046,0.043,59.867
09:20,111.932,111.932,111.932,111.932,0,111.640,111.907,111.889,111.858,111.878,111.829,0.048,0.044,59.867
09:21,111.932,111.932,111.932,111.932,0,111.640,111.910,111.898,111.871,111.886,111.837,0.049,0.045,59.867
09:22,111.870,111.890,111.840,111.890,3464,111.653,111.924,111.902,111.884,111.887,111.841,0.046,0.045,55.213
09:23,111.890,111.890,111.890,111.890,0,111.653,111.915,111.906,111.891,111.887,111.845,0.043,0.045,55.213
09:24,111.890,111.890,111.890,111.890,0,111.653,111.907,111.902,111.891,111.888,111.848,0.040,0.044,55.213
09:25,111.900,111.900,111.900,111.900,1069,111.657,111.900,111.912,111.894,111.889,111.852,0.038,0.042,56.225
09:26,111.950,112.030,111.950,112.030,2549,111.670,111.920,111.924,111.907,111.911,111.865,0.046,0.043,66.745
09:27,112.110,112.180,112.110,112.180,2330,111.687,111.978,111.956,111.931,111.952,111.888,0.064,0.047,74.392
09:28,112.070,112.070,112.070,112.070,1443,111.694,112.014,111.973,111.948,111.971,111.902,0.069,0.052,62.958
09:29,112.000,112.000,112.000,112.000,199,111.695,112.036,111.981,111.954,111.975,111.909,0.066,0.054,56.959
09:30,111.900,112.210,111.890,112.080,20798,112.060,112.072,112.005,111.974,111.991,111.922,0.069,0.057,61.477
09:31,112.050,112.390,111.890,111.970,54892,112.077,112.060,112.015,111.977,111.988,111.925,0.063,0.059,53.207
09:32,111.970,112.120,111.960,112.120,14297,112.075,112.048,112.044,111.991,112.008,111.940,0.069,0.061,60.926
09:33,112.120,112.650,112.020,112.410,355409,112.302,112.116,112.108,112.028,112.070,111.975,0.096,0.068,70.916
09:34,112.430,112.710,112.350,112.500,75779,112.334,112.216,112.166,112.072,112.136,112.013,0.123,0.079,73.203
09:35,112.485,112.570,112.150,112.570,88156,112.348,112.314,112.215,112.124,112.203,112.055,0.148,0.093,74.863
09:36,112.565,112.850,112.520,112.820,108593,112.406,112.484,112.309,112.195,112.298,112.111,0.186,0.111,79.694
09:37,112.820,112.960,112.712,112.930,111309,112.468,112.646,112.425,112.275,112.395,112.172,0.223,0.134,81.389
09:38,112.890,113.056,112.890,113.040,85454,112.517,112.772,112.545,112.363,112.494,112.236,0.258,0.159,82.924
09:39,113.061,113.180,112.881,112.881,94373,112.560,112.848,112.659,112.429,112.554,112.284,0.270,0.181,73.489
09:40,112.890,113.050,112.670,112.760,85809,112.581,112.886,112.739,112.473,112.586,112.319,0.266,0.198,67.221
09:41,112.780,112.950,112.690,112.800,60840,112.593,112.882,112.788,112.529,112.619,112.355,0.264,0.211,68.187
09:42,112.810,113.090,112.770,113.031,64874,112.613,112.902,112.854,112.609,112.682,112.405,0.277,0.224,73.107
09:43,113.030,113.130,113.000,113.090,46295,112.630,112.912,112.919,112.686,112.745,112.456,0.289,0.237,74.214
09:44,113.090,113.130,112.945,113.100,70665,112.653,112.956,112.954,112.773,112.799,112.503,0.296,0.249,74.405
09:45,113.100,113.130,112.900,112.990,88931,112.675,113.002,112.961,112.840,112.829,112.539,0.289,0.257,68.405
09:46,113.000,113.220,113.000,113.210,53741,112.692,113.084,112.983,112.902,112.887,112.589,0.298,0.265,73.080
