,Date,4:00PM,4:01PM,4:05PM,4:30PM,5:00PM,5:30PM,6:00PM,6:30PM,7:00PM
0,2023-05-24,305.76,305.4,305.0,350.9,367.0,384.4,386.0,381.51,379.2
1,2023-02-22,207.4,207.7,207.48,205.88,222.49,225.09,225.0,225.56,225.75
2,2022-11-16,159.3268,159.1,158.15,159.26,162.2,160.3,160.6,160.92,161.6
3,2022-08-24,172.0,171.7946,172.88,171.6,167.25,167.0,164.22,164.25,164.29
4,2022-05-25,170.01,170.36,169.66,156.5,158.15,156.98,158.93,158.59,159.45
5,2022-02-16,267.31,265.11,266.5,260.87,262.7,262.52,260.04,260.21,258.7901
6,2021-11-17,292.61,292.5,293.0,302.0,305.0,304.5001,308.0,307.2,306.97
7,2021-08-18,190.4,190.4,190.3,189.95,192.85,193.65,196.35,195.12,194.73
8,2021-05-26,628.49,628.0,628.5,629.0,624.95,624.0,621.5,623.66,
9,2021-02-24,580.0,580.88,579.96,592.42,593.12,570.07,561.84,566.25,569.1499
10,2020-11-18,537.15,538.77,537.15,533.97,537.74,522.99,520.0,523.03,526.65
11,2020-08-19,485.54,485.5,486.9,481.84,482.9,478.5,477.46,478.65,477.65
12,2020-05-21,350.92,351.8299,352.37,349.88,351.85,348.5,348.6,349.2,351.0
13,2020-02-13,270.8,270.81,271.37,290.62,286.7,289.1,286.6,284.0,283.5001
14,2019-11-14,209.7,209.95,210.11,214.0,208.57,208.89,206.5,206.09,207.0
15,2019-08-15,148.95,148.1956,148.5,157.12,158.07,157.75,157.79,156.5,156.9
16,2019-05-16,160.09,160.1201,161.0,168.5,169.72,170.01,161.83,162.89,162.99
17,2019-02-14,154.8035,154.4,154.4999,167.6,166.55,167.33,166.8,164.76,164.0
18,2018-11-15,202.61,203.41,203.0,171.0,169.2,168.49,164.7299,169.74,168.0
19,2018-08-16,257.7,259.85,258.5,243.52,247.3,247.2,246.52,245.05,244.85
20,2018-05-10,260.35,261.0,261.67,253.03,255.15,254.7,252.3,251.2,251.58
21,2018-02-08,219.0,221.99,221.9,233.75,242.0,245.6,238.13,234.83,233.29
22,2017-11-09,205.33,204.75,204.0,206.06,206.81,209.75,209.84,210.59,210.5
